GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median year structure built,Margin of Error; Median year structure built
1500000US220710001001,220710001001,"Block Group 1, Census Tract 1, Orleans Parish, Louisiana",1939-,***
1500000US220710001002,220710001002,"Block Group 2, Census Tract 1, Orleans Parish, Louisiana",1939-,***
1500000US220710001003,220710001003,"Block Group 3, Census Tract 1, Orleans Parish, Louisiana",1939-,***
1500000US220710002001,220710002001,"Block Group 1, Census Tract 2, Orleans Parish, Louisiana",1940,5
1500000US220710002002,220710002002,"Block Group 2, Census Tract 2, Orleans Parish, Louisiana",1946,4
1500000US220710003001,220710003001,"Block Group 1, Census Tract 3, Orleans Parish, Louisiana",1942,4
1500000US220710003002,220710003002,"Block Group 2, Census Tract 3, Orleans Parish, Louisiana",1952,4
1500000US220710004001,220710004001,"Block Group 1, Census Tract 4, Orleans Parish, Louisiana",1954,8
1500000US220710004002,220710004002,"Block Group 2, Census Tract 4, Orleans Parish, Louisiana",1956,9
1500000US220710006011,220710006011,"Block Group 1, Census Tract 6.01, Orleans Parish, Louisiana",2002,3
1500000US220710006012,220710006012,"Block Group 2, Census Tract 6.01, Orleans Parish, Louisiana",2004,2
1500000US220710006021,220710006021,"Block Group 1, Census Tract 6.02, Orleans Parish, Louisiana",1957,3
1500000US220710006022,220710006022,"Block Group 2, Census Tract 6.02, Orleans Parish, Louisiana",1961,6
1500000US220710006023,220710006023,"Block Group 3, Census Tract 6.02, Orleans Parish, Louisiana",1954,3
1500000US220710006031,220710006031,"Block Group 1, Census Tract 6.03, Orleans Parish, Louisiana",1974,8
1500000US220710006032,220710006032,"Block Group 2, Census Tract 6.03, Orleans Parish, Louisiana",1980,4
1500000US220710006041,220710006041,"Block Group 1, Census Tract 6.04, Orleans Parish, Louisiana",1966,11
1500000US220710006042,220710006042,"Block Group 2, Census Tract 6.04, Orleans Parish, Louisiana",1977,4
1500000US220710006043,220710006043,"Block Group 3, Census Tract 6.04, Orleans Parish, Louisiana",1981,3
1500000US220710006051,220710006051,"Block Group 1, Census Tract 6.05, Orleans Parish, Louisiana",1958,3
1500000US220710006052,220710006052,"Block Group 2, Census Tract 6.05, Orleans Parish, Louisiana",1959,4
1500000US220710006053,220710006053,"Block Group 3, Census Tract 6.05, Orleans Parish, Louisiana",1972,5
1500000US220710006061,220710006061,"Block Group 1, Census Tract 6.06, Orleans Parish, Louisiana",1971,7
1500000US220710006062,220710006062,"Block Group 2, Census Tract 6.06, Orleans Parish, Louisiana",1967,3
1500000US220710006063,220710006063,"Block Group 3, Census Tract 6.06, Orleans Parish, Louisiana",1966,2
1500000US220710006071,220710006071,"Block Group 1, Census Tract 6.07, Orleans Parish, Louisiana",1965,8
1500000US220710006072,220710006072,"Block Group 2, Census Tract 6.07, Orleans Parish, Louisiana",1968,2
1500000US220710006073,220710006073,"Block Group 3, Census Tract 6.07, Orleans Parish, Louisiana",1965,4
1500000US220710006111,220710006111,"Block Group 1, Census Tract 6.11, Orleans Parish, Louisiana",1972,4
1500000US220710006112,220710006112,"Block Group 2, Census Tract 6.11, Orleans Parish, Louisiana",1976,2
1500000US220710006121,220710006121,"Block Group 1, Census Tract 6.12, Orleans Parish, Louisiana",1998,4
1500000US220710006131,220710006131,"Block Group 1, Census Tract 6.13, Orleans Parish, Louisiana",1990,10
1500000US220710006132,220710006132,"Block Group 2, Census Tract 6.13, Orleans Parish, Louisiana",1978,3
1500000US220710006133,220710006133,"Block Group 3, Census Tract 6.13, Orleans Parish, Louisiana",1984,9
1500000US220710006151,220710006151,"Block Group 1, Census Tract 6.15, Orleans Parish, Louisiana",1968,3
1500000US220710006152,220710006152,"Block Group 2, Census Tract 6.15, Orleans Parish, Louisiana",1973,1
1500000US220710006161,220710006161,"Block Group 1, Census Tract 6.16, Orleans Parish, Louisiana",1966,3
1500000US220710006162,220710006162,"Block Group 2, Census Tract 6.16, Orleans Parish, Louisiana",1979,4
1500000US220710006163,220710006163,"Block Group 3, Census Tract 6.16, Orleans Parish, Louisiana",1969,3
1500000US220710006171,220710006171,"Block Group 1, Census Tract 6.17, Orleans Parish, Louisiana",1984,3
1500000US220710006172,220710006172,"Block Group 2, Census Tract 6.17, Orleans Parish, Louisiana",1987,3
1500000US220710006181,220710006181,"Block Group 1, Census Tract 6.18, Orleans Parish, Louisiana",1982,3
1500000US220710006182,220710006182,"Block Group 2, Census Tract 6.18, Orleans Parish, Louisiana",1976,2
1500000US220710007011,220710007011,"Block Group 1, Census Tract 7.01, Orleans Parish, Louisiana",1963,42
1500000US220710007012,220710007012,"Block Group 2, Census Tract 7.01, Orleans Parish, Louisiana",2005,4
1500000US220710007013,220710007013,"Block Group 3, Census Tract 7.01, Orleans Parish, Louisiana",1968,37
1500000US220710007014,220710007014,"Block Group 4, Census Tract 7.01, Orleans Parish, Louisiana",1956,5
1500000US220710007021,220710007021,"Block Group 1, Census Tract 7.02, Orleans Parish, Louisiana",1953,5
1500000US220710007022,220710007022,"Block Group 2, Census Tract 7.02, Orleans Parish, Louisiana",1939-,***
1500000US220710007023,220710007023,"Block Group 3, Census Tract 7.02, Orleans Parish, Louisiana",1981,39
1500000US220710007024,220710007024,"Block Group 4, Census Tract 7.02, Orleans Parish, Louisiana",1945,13
1500000US220710008001,220710008001,"Block Group 1, Census Tract 8, Orleans Parish, Louisiana",1953,7
1500000US220710008002,220710008002,"Block Group 2, Census Tract 8, Orleans Parish, Louisiana",1943,3
1500000US220710008003,220710008003,"Block Group 3, Census Tract 8, Orleans Parish, Louisiana",1956,6
1500000US220710009011,220710009011,"Block Group 1, Census Tract 9.01, Orleans Parish, Louisiana",1974,9
1500000US220710009012,220710009012,"Block Group 2, Census Tract 9.01, Orleans Parish, Louisiana",1996,42
1500000US220710009013,220710009013,"Block Group 3, Census Tract 9.01, Orleans Parish, Louisiana",2002,45
1500000US220710009014,220710009014,"Block Group 4, Census Tract 9.01, Orleans Parish, Louisiana",1978,5
1500000US220710009021,220710009021,"Block Group 1, Census Tract 9.02, Orleans Parish, Louisiana",1959,25
1500000US220710009022,220710009022,"Block Group 2, Census Tract 9.02, Orleans Parish, Louisiana",1961,11
1500000US220710009023,220710009023,"Block Group 3, Census Tract 9.02, Orleans Parish, Louisiana",1955,38
1500000US220710009024,220710009024,"Block Group 4, Census Tract 9.02, Orleans Parish, Louisiana",1983,7
1500000US220710009031,220710009031,"Block Group 1, Census Tract 9.03, Orleans Parish, Louisiana",1965,26
1500000US220710009032,220710009032,"Block Group 2, Census Tract 9.03, Orleans Parish, Louisiana",1989,51
1500000US220710009033,220710009033,"Block Group 3, Census Tract 9.03, Orleans Parish, Louisiana",2002,83
1500000US220710009034,220710009034,"Block Group 4, Census Tract 9.03, Orleans Parish, Louisiana",1984,8
1500000US220710009041,220710009041,"Block Group 1, Census Tract 9.04, Orleans Parish, Louisiana",1968,37
1500000US220710009042,220710009042,"Block Group 2, Census Tract 9.04, Orleans Parish, Louisiana",1954,6
1500000US220710011001,220710011001,"Block Group 1, Census Tract 11, Orleans Parish, Louisiana",1974,13
1500000US220710011002,220710011002,"Block Group 2, Census Tract 11, Orleans Parish, Louisiana",1939-,***
1500000US220710011003,220710011003,"Block Group 3, Census Tract 11, Orleans Parish, Louisiana",-,**
1500000US220710012001,220710012001,"Block Group 1, Census Tract 12, Orleans Parish, Louisiana",1939-,***
1500000US220710012002,220710012002,"Block Group 2, Census Tract 12, Orleans Parish, Louisiana",1939-,***
1500000US220710012003,220710012003,"Block Group 3, Census Tract 12, Orleans Parish, Louisiana",1939-,***
1500000US220710013011,220710013011,"Block Group 1, Census Tract 13.01, Orleans Parish, Louisiana",1951,7
1500000US220710013012,220710013012,"Block Group 2, Census Tract 13.01, Orleans Parish, Louisiana",1939-,***
1500000US220710013013,220710013013,"Block Group 3, Census Tract 13.01, Orleans Parish, Louisiana",1944,4
1500000US220710013014,220710013014,"Block Group 4, Census Tract 13.01, Orleans Parish, Louisiana",1943,11
1500000US220710013021,220710013021,"Block Group 1, Census Tract 13.02, Orleans Parish, Louisiana",1945,5
1500000US220710013022,220710013022,"Block Group 2, Census Tract 13.02, Orleans Parish, Louisiana",1951,5
1500000US220710014011,220710014011,"Block Group 1, Census Tract 14.01, Orleans Parish, Louisiana",1966,4
1500000US220710014012,220710014012,"Block Group 2, Census Tract 14.01, Orleans Parish, Louisiana",1957,3
1500000US220710014013,220710014013,"Block Group 3, Census Tract 14.01, Orleans Parish, Louisiana",1951,10
1500000US220710014014,220710014014,"Block Group 4, Census Tract 14.01, Orleans Parish, Louisiana",1955,11
1500000US220710014015,220710014015,"Block Group 5, Census Tract 14.01, Orleans Parish, Louisiana",1955,55
1500000US220710014016,220710014016,"Block Group 6, Census Tract 14.01, Orleans Parish, Louisiana",1962,14
1500000US220710014021,220710014021,"Block Group 1, Census Tract 14.02, Orleans Parish, Louisiana",2000,12
1500000US220710014022,220710014022,"Block Group 2, Census Tract 14.02, Orleans Parish, Louisiana",1952,4
1500000US220710014023,220710014023,"Block Group 3, Census Tract 14.02, Orleans Parish, Louisiana",1949,8
1500000US220710014024,220710014024,"Block Group 4, Census Tract 14.02, Orleans Parish, Louisiana",1955,3
1500000US220710015001,220710015001,"Block Group 1, Census Tract 15, Orleans Parish, Louisiana",1957,5
1500000US220710015002,220710015002,"Block Group 2, Census Tract 15, Orleans Parish, Louisiana",1952,6
1500000US220710016001,220710016001,"Block Group 1, Census Tract 16, Orleans Parish, Louisiana",-,**
1500000US220710017011,220710017011,"Block Group 1, Census Tract 17.01, Orleans Parish, Louisiana",1958,3
1500000US220710017012,220710017012,"Block Group 2, Census Tract 17.01, Orleans Parish, Louisiana",1958,3
1500000US220710017013,220710017013,"Block Group 3, Census Tract 17.01, Orleans Parish, Louisiana",1958,3
1500000US220710017021,220710017021,"Block Group 1, Census Tract 17.02, Orleans Parish, Louisiana",1957,3
1500000US220710017022,220710017022,"Block Group 2, Census Tract 17.02, Orleans Parish, Louisiana",1959,3
1500000US220710017023,220710017023,"Block Group 3, Census Tract 17.02, Orleans Parish, Louisiana",1956,2
1500000US220710017024,220710017024,"Block Group 4, Census Tract 17.02, Orleans Parish, Louisiana",1978,15
1500000US220710017201,220710017201,"Block Group 1, Census Tract 17.20, Orleans Parish, Louisiana",1969,6
1500000US220710017202,220710017202,"Block Group 2, Census Tract 17.20, Orleans Parish, Louisiana",1975,3
1500000US220710017203,220710017203,"Block Group 3, Census Tract 17.20, Orleans Parish, Louisiana",1971,3
1500000US220710017204,220710017204,"Block Group 4, Census Tract 17.20, Orleans Parish, Louisiana",1971,4
1500000US220710017221,220710017221,"Block Group 1, Census Tract 17.22, Orleans Parish, Louisiana",1977,14
1500000US220710017222,220710017222,"Block Group 2, Census Tract 17.22, Orleans Parish, Louisiana",1959,8
1500000US220710017223,220710017223,"Block Group 3, Census Tract 17.22, Orleans Parish, Louisiana",1976,12
1500000US220710017224,220710017224,"Block Group 4, Census Tract 17.22, Orleans Parish, Louisiana",1973,6
1500000US220710017225,220710017225,"Block Group 5, Census Tract 17.22, Orleans Parish, Louisiana",1973,4
1500000US220710017226,220710017226,"Block Group 6, Census Tract 17.22, Orleans Parish, Louisiana",1956,4
1500000US220710017227,220710017227,"Block Group 7, Census Tract 17.22, Orleans Parish, Louisiana",1964,5
1500000US220710017231,220710017231,"Block Group 1, Census Tract 17.23, Orleans Parish, Louisiana",1967,3
1500000US220710017232,220710017232,"Block Group 2, Census Tract 17.23, Orleans Parish, Louisiana",1968,2
1500000US220710017233,220710017233,"Block Group 3, Census Tract 17.23, Orleans Parish, Louisiana",1968,4
1500000US220710017234,220710017234,"Block Group 4, Census Tract 17.23, Orleans Parish, Louisiana",1977,10
1500000US220710017241,220710017241,"Block Group 1, Census Tract 17.24, Orleans Parish, Louisiana",1971,6
1500000US220710017242,220710017242,"Block Group 2, Census Tract 17.24, Orleans Parish, Louisiana",1973,4
1500000US220710017243,220710017243,"Block Group 3, Census Tract 17.24, Orleans Parish, Louisiana",1978,3
1500000US220710017244,220710017244,"Block Group 4, Census Tract 17.24, Orleans Parish, Louisiana",1971,3
1500000US220710017251,220710017251,"Block Group 1, Census Tract 17.25, Orleans Parish, Louisiana",1979,5
1500000US220710017252,220710017252,"Block Group 2, Census Tract 17.25, Orleans Parish, Louisiana",1979,4
1500000US220710017253,220710017253,"Block Group 3, Census Tract 17.25, Orleans Parish, Louisiana",1974,3
1500000US220710017254,220710017254,"Block Group 4, Census Tract 17.25, Orleans Parish, Louisiana",1975,2
1500000US220710017301,220710017301,"Block Group 1, Census Tract 17.30, Orleans Parish, Louisiana",1987,3
1500000US220710017341,220710017341,"Block Group 1, Census Tract 17.34, Orleans Parish, Louisiana",1998,6
1500000US220710017351,220710017351,"Block Group 1, Census Tract 17.35, Orleans Parish, Louisiana",1977,2
1500000US220710017352,220710017352,"Block Group 2, Census Tract 17.35, Orleans Parish, Louisiana",1977,2
1500000US220710017361,220710017361,"Block Group 1, Census Tract 17.36, Orleans Parish, Louisiana",1985,10
1500000US220710017362,220710017362,"Block Group 2, Census Tract 17.36, Orleans Parish, Louisiana",1977,2
1500000US220710017371,220710017371,"Block Group 1, Census Tract 17.37, Orleans Parish, Louisiana",1979,3
1500000US220710017372,220710017372,"Block Group 2, Census Tract 17.37, Orleans Parish, Louisiana",1971,4
1500000US220710017373,220710017373,"Block Group 3, Census Tract 17.37, Orleans Parish, Louisiana",1973,4
1500000US220710017391,220710017391,"Block Group 1, Census Tract 17.39, Orleans Parish, Louisiana",1978,2
1500000US220710017392,220710017392,"Block Group 2, Census Tract 17.39, Orleans Parish, Louisiana",1975,2
1500000US220710017401,220710017401,"Block Group 1, Census Tract 17.40, Orleans Parish, Louisiana",1985,2
1500000US220710017402,220710017402,"Block Group 2, Census Tract 17.40, Orleans Parish, Louisiana",1981,4
1500000US220710017403,220710017403,"Block Group 3, Census Tract 17.40, Orleans Parish, Louisiana",1982,3
1500000US220710017411,220710017411,"Block Group 1, Census Tract 17.41, Orleans Parish, Louisiana",1974,3
1500000US220710017431,220710017431,"Block Group 1, Census Tract 17.43, Orleans Parish, Louisiana",1976,1
1500000US220710017432,220710017432,"Block Group 2, Census Tract 17.43, Orleans Parish, Louisiana",1975,2
1500000US220710017441,220710017441,"Block Group 1, Census Tract 17.44, Orleans Parish, Louisiana",1979,4
1500000US220710017442,220710017442,"Block Group 2, Census Tract 17.44, Orleans Parish, Louisiana",1975,2
1500000US220710017443,220710017443,"Block Group 3, Census Tract 17.44, Orleans Parish, Louisiana",2002,6
1500000US220710017451,220710017451,"Block Group 1, Census Tract 17.45, Orleans Parish, Louisiana",1982,5
1500000US220710017452,220710017452,"Block Group 2, Census Tract 17.45, Orleans Parish, Louisiana",1981,3
1500000US220710017461,220710017461,"Block Group 1, Census Tract 17.46, Orleans Parish, Louisiana",1984,2
1500000US220710017462,220710017462,"Block Group 2, Census Tract 17.46, Orleans Parish, Louisiana",1978,4
1500000US220710017463,220710017463,"Block Group 3, Census Tract 17.46, Orleans Parish, Louisiana",1983,5
1500000US220710017471,220710017471,"Block Group 1, Census Tract 17.47, Orleans Parish, Louisiana",1994,3
1500000US220710017472,220710017472,"Block Group 2, Census Tract 17.47, Orleans Parish, Louisiana",1988,4
1500000US220710017481,220710017481,"Block Group 1, Census Tract 17.48, Orleans Parish, Louisiana",1975,2
1500000US220710017482,220710017482,"Block Group 2, Census Tract 17.48, Orleans Parish, Louisiana",1969,5
1500000US220710017483,220710017483,"Block Group 3, Census Tract 17.48, Orleans Parish, Louisiana",1964,2
1500000US220710017484,220710017484,"Block Group 4, Census Tract 17.48, Orleans Parish, Louisiana",1965,3
1500000US220710017491,220710017491,"Block Group 1, Census Tract 17.49, Orleans Parish, Louisiana",1988,4
1500000US220710017492,220710017492,"Block Group 2, Census Tract 17.49, Orleans Parish, Louisiana",1976,3
1500000US220710017501,220710017501,"Block Group 1, Census Tract 17.50, Orleans Parish, Louisiana",1976,2
1500000US220710017502,220710017502,"Block Group 2, Census Tract 17.50, Orleans Parish, Louisiana",1978,6
1500000US220710017503,220710017503,"Block Group 3, Census Tract 17.50, Orleans Parish, Louisiana",1975,2
1500000US220710017511,220710017511,"Block Group 1, Census Tract 17.51, Orleans Parish, Louisiana",1967,3
1500000US220710018001,220710018001,"Block Group 1, Census Tract 18, Orleans Parish, Louisiana",1939-,***
1500000US220710018002,220710018002,"Block Group 2, Census Tract 18, Orleans Parish, Louisiana",1939-,***
1500000US220710019001,220710019001,"Block Group 1, Census Tract 19, Orleans Parish, Louisiana",1941,4
1500000US220710019002,220710019002,"Block Group 2, Census Tract 19, Orleans Parish, Louisiana",1945,6
1500000US220710019003,220710019003,"Block Group 3, Census Tract 19, Orleans Parish, Louisiana",1950,8
1500000US220710020001,220710020001,"Block Group 1, Census Tract 20, Orleans Parish, Louisiana",1950,11
1500000US220710020002,220710020002,"Block Group 2, Census Tract 20, Orleans Parish, Louisiana",1952,8
1500000US220710020003,220710020003,"Block Group 3, Census Tract 20, Orleans Parish, Louisiana",1958,18
1500000US220710021001,220710021001,"Block Group 1, Census Tract 21, Orleans Parish, Louisiana",1969,11
1500000US220710021002,220710021002,"Block Group 2, Census Tract 21, Orleans Parish, Louisiana",1955,5
1500000US220710022001,220710022001,"Block Group 1, Census Tract 22, Orleans Parish, Louisiana",1954,4
1500000US220710022002,220710022002,"Block Group 2, Census Tract 22, Orleans Parish, Louisiana",1953,8
1500000US220710022003,220710022003,"Block Group 3, Census Tract 22, Orleans Parish, Louisiana",1951,10
1500000US220710023001,220710023001,"Block Group 1, Census Tract 23, Orleans Parish, Louisiana",1966,12
1500000US220710023002,220710023002,"Block Group 2, Census Tract 23, Orleans Parish, Louisiana",1957,27
1500000US220710023003,220710023003,"Block Group 3, Census Tract 23, Orleans Parish, Louisiana",1952,10
1500000US220710023004,220710023004,"Block Group 4, Census Tract 23, Orleans Parish, Louisiana",1959,5
1500000US220710023005,220710023005,"Block Group 5, Census Tract 23, Orleans Parish, Louisiana",1953,4
1500000US220710024011,220710024011,"Block Group 1, Census Tract 24.01, Orleans Parish, Louisiana",1953,3
1500000US220710024012,220710024012,"Block Group 2, Census Tract 24.01, Orleans Parish, Louisiana",1955,3
1500000US220710024021,220710024021,"Block Group 1, Census Tract 24.02, Orleans Parish, Louisiana",1950,5
1500000US220710024022,220710024022,"Block Group 2, Census Tract 24.02, Orleans Parish, Louisiana",1955,6
1500000US220710024023,220710024023,"Block Group 3, Census Tract 24.02, Orleans Parish, Louisiana",1948,4
1500000US220710024024,220710024024,"Block Group 4, Census Tract 24.02, Orleans Parish, Louisiana",1947,5
1500000US220710025011,220710025011,"Block Group 1, Census Tract 25.01, Orleans Parish, Louisiana",1956,2
1500000US220710025012,220710025012,"Block Group 2, Census Tract 25.01, Orleans Parish, Louisiana",1958,3
1500000US220710025013,220710025013,"Block Group 3, Census Tract 25.01, Orleans Parish, Louisiana",1955,7
1500000US220710025014,220710025014,"Block Group 4, Census Tract 25.01, Orleans Parish, Louisiana",1955,2
1500000US220710025021,220710025021,"Block Group 1, Census Tract 25.02, Orleans Parish, Louisiana",1959,6
1500000US220710025022,220710025022,"Block Group 2, Census Tract 25.02, Orleans Parish, Louisiana",1956,8
1500000US220710025023,220710025023,"Block Group 3, Census Tract 25.02, Orleans Parish, Louisiana",1956,2
1500000US220710025024,220710025024,"Block Group 4, Census Tract 25.02, Orleans Parish, Louisiana",1957,3
1500000US220710025031,220710025031,"Block Group 1, Census Tract 25.03, Orleans Parish, Louisiana",1958,22
1500000US220710025032,220710025032,"Block Group 2, Census Tract 25.03, Orleans Parish, Louisiana",1953,3
1500000US220710025033,220710025033,"Block Group 3, Census Tract 25.03, Orleans Parish, Louisiana",1944,6
