type,description,
"Corrosive solids, n.o.s.",Description coming soon….,UN1759
"Pyrophoric solids, organic, n.o.s.",Description coming soon….,UN2846
Sodium dithionite or Sodium hydrosulfite,Description coming soon….,UN1384
Zinc powder or Zinc dust,Description coming soon….,UN1436
"Organic peroxide type D, liquid",Description coming soon….,UN3105
"Water-reactive solid, corrosive, n.o.s.",Description coming soon….,UN3131
"Flammable solids, organic, n.o.s.",Description coming soon….,UN1325
"Organic peroxide type C, solid",Description coming soon….,UN3104
Not available,Description coming soon….,RN0 3Y97
"Organic peroxide type C, liquid",Description coming soon….,UN3103
"Organic peroxide type F, solid",Description coming soon….,UN3110
"Cyanides, inorganic, solid, n.o.s.",Description coming soon….,UN1588
Sodium azide,Description coming soon….,UN1687
"Cyanide solutions, n.o.s.",Description coming soon….,UN1935
"Toxic solids, organic, n.o.s.",Description coming soon….,UN2811
Lighter refills containing flammable gas not exceeding 4 fluid ounces (7.22 cubic inches) and 65 grams of flammable gas,Description coming soon….,UN1057
"Pesticides, solid, toxic, n.o.s.",Description coming soon….,UN2588
"Batteries, wet, filled with alkali, electric storage",Description coming soon….,UN2795
"Hydrazine, aqueous solution with not more than 37 percent hydrazine, by mass",Description coming soon….,UN3293
"Toxic, liquids, organic, n.o.s.",Description coming soon….,UN2810
"Flammable liquids, corrosive, n.o.s.",Description coming soon….,UN2924
"Phosphorus, white dry or Phosphorus, white, under water or Phosphorus white, in solution or Phosphorus, yellow dry or Phosphorus, yellow, under water or  Phosphorus, yellow, in solution",Description coming soon….,UN1381
"Solids containing corrosive liquid, n.o.s.",Description coming soon….,UN3244
Phosphorus trichloride,Description coming soon….,UN1809
Not available,Description coming soon…., N04B17
"Dichloroisocyanuric acid, dry or Dichloroisocyanuric acid salts",Description coming soon….,UN2465
"Phosphorus, amorphous",Description coming soon….,UN1338
"Hydrogen peroxide and peroxyacetic acid mixtures, stabilized with acids, water and not more than 5 percent peroxyacetic acid",Description coming soon….,UN3149
Not available,Description coming soon….,AN04B17
"Nitric acid other than red fuming, with at least 65 percent, but  not more than 70 percent nitric acid",Description coming soon….,UN2031
