Id,Median household income in the past 12 months (in 2015 Inflation-adjusted dollars),Median household income in the past 12 months (in 2014 Inflation-adjusted dollars),Median gross rent 2015,Median gross rent,with other types of income,with public assistance income,total
1500000US220710017253,31484,31990,1081,1055,50,0,521
1500000US220710017254,39038,50284,740,730,39,16,569
1500000US220710017301,39464,44583,1289,1541,49,0,287
1500000US220710017341,61458,60859,-,-,25,0,333
1500000US220710017351,22933,26429,848,907,64,26,454
1500000US220710017352,30250,24167,1031,1011,25,31,350
1500000US220710017361,15101,15337,693,867,39,11,241
1500000US220710017362,32063,33750,930,928,96,6,559
1500000US220710017371,18897,20473,830,828,67,17,724
1500000US220710017372,41979,48250,1155,1262,18,0,322
1500000US220710017373,36058,36477,-,1703,39,13,249
1500000US220710017391,26167,39773,874,921,46,0,408
1500000US220710017392,39352,50917,-,-,31,0,165
1500000US220710017401,45750,44559,-,-,59,10,442
1500000US220710017402,23958,30028,789,839,64,0,695
1500000US220710017403,33872,35545,770,762,69,45,656
1500000US220710017411,41776,40500,1202,1258,77,3,480
1500000US220710017431,23750,19322,849,875,45,14,625
1500000US220710017432,21083,21286,849,858,19,0,314
1500000US220710017441,21083,33385,750,789,11,11,489
1500000US220710017442,13393,16058,1027,1107,49,72,493
1500000US220710017443,23594,25110,959,907,28,15,427
1500000US220710017451,21537,20972,874,894,42,39,930
1500000US220710017452,28807,28750,1277,1321,57,17,409
1500000US220710017461,36578,39286,929,903,34,9,482
1500000US220710017462,24236,27850,683,929,21,0,578
1500000US220710017463,35476,35797,1056,1095,59,41,563
1500000US220710017471,74167,78990,-,-,106,0,847
1500000US220710017472,88854,68646,-,-,35,0,425
1500000US220710017481,37750,60703,-,-,7,0,374
1500000US220710017482,37750,29485,1203,1246,38,0,409
1500000US220710017483,41250,38015,697,666,86,24,445
1500000US220710017484,61875,61958,-,-,52,0,273
1500000US220710017491,42716,41563,1250,636,59,5,369
1500000US220710017492,27468,26844,693,743,47,3,471
1500000US220710017501,38269,38750,905,922,3,0,397
1500000US220710017502,25549,25189,603,658,69,0,322
1500000US220710017503,22454,15767,686,715,11,18,434
1500000US220710017511,16842,17059,702,716,6,21,268
1500000US220710018001,51650,51023,1147,1185,22,3,418
1500000US220710018002,58542,62500,1144,994,11,0,282
1500000US220710019001,30625,26023,809,815,0,0,138
1500000US220710019002,21111,19750,588,596,21,19,261
1500000US220710019003,26146,26339,778,787,0,0,245
1500000US220710020001,26146,10568,1028,1057,3,32,212
1500000US220710020002,20694,18323,908,814,28,14,197
1500000US220710020003,22250,32292,861,891,5,10,107
1500000US220710021001,19844,18587,844,897,2,15,158
1500000US220710021002,15313,17039,666,706,18,36,209
1500000US220710022001,18750,22708,635,718,7,1,125
1500000US220710022002,22308,33875,770,832,44,15,181
1500000US220710022003,22308,15833,988,1084,6,11,96
1500000US220710023001,22308,52708,-,-,0,0,59
1500000US220710023002,12917,9148,853,538,0,14,114
1500000US220710023003,29356,30278,680,-,0,0,68
1500000US220710023004,24013,24931,869,835,7,0,101
1500000US220710023005,23608,23828,882,877,35,0,475
1500000US220710024011,40343,41202,1115,1119,36,5,414
1500000US220710024012,31250,50750,896,856,43,6,355
1500000US220710024021,48669,31800,900,941,9,0,168
1500000US220710024022,26607,24511,709,695,44,0,355
1500000US220710024023,28750,34022,987,987,26,0,276
1500000US220710024024,24844,29205,1011,1193,18,0,419
1500000US220710025011,26058,38421,868,915,20,6,278
1500000US220710025012,40875,40521,1262,1278,14,1,161
1500000US220710025013,61250,62125,1309,1038,17,0,105
1500000US220710025014,47667,49559,1022,1010,17,0,130
1500000US220710025021,29219,40114,1128,1116,57,17,320
1500000US220710025022,26389,26875,751,646,0,0,179
1500000US220710025023,26625,26111,989,999,10,0,142
1500000US220710025024,26625,36953,-,-,13,0,171
1500000US220710025031,61250,53393,1352,1377,12,5,150
1500000US220710025032,45625,51979,1033,1087,45,0,377
1500000US220710025033,51964,57599,968,1277,13,0,281
1500000US220710025041,46000,45733,1125,1139,41,29,191
1500000US220710025042,43125,51250,1125,1188,29,0,328
1500000US220710025043,61591,63036,975,-,18,0,181
1500000US220710025044,35000,27950,1084,1111,32,0,229
1500000US220710026001,54531,62258,919,913,41,8,450
1500000US220710026002,54531,22500,919,343,68,0,528
1500000US220710027001,20000,18264,745,926,5,0,205
1500000US220710027002,35625,47829,945,1071,16,4,261
1500000US220710027003,13344,20912,869,842,0,11,149
1500000US220710028001,23487,24423,731,869,0,0,170
1500000US220710028002,16071,17330,807,793,31,5,269
1500000US220710028003,25625,27632,927,932,15,6,202
1500000US220710029001,19792,23542,1000,912,35,6,209
1500000US220710029002,19792,12552,703,635,7,0,147
1500000US220710029003,25991,25172,639,637,18,0,208
1500000US220710030001,14191,14148,988,978,10,6,213
1500000US220710030002,14875,14942,869,922,13,5,268
1500000US220710031001,16781,15346,715,529,12,0,147
1500000US220710031002,17442,19188,838,920,12,10,303
1500000US220710033011,51071,58913,1047,1060,54,5,300
1500000US220710033012,53333,48000,1161,1112,0,14,252
1500000US220710033013,79474,78839,2217,"2,000+",4,0,129
1500000US220710033021,56458,56513,-,-,33,0,231
1500000US220710033022,44318,46154,1299,1689,6,26,398
1500000US220710033023,61458,54957,912,743,48,0,371
1500000US220710033024,74318,62222,-,1290,0,0,214
1500000US220710033031,74318,33500,1080,1109,33,23,356
1500000US220710033032,22014,20078,978,902,21,15,307
1500000US220710033033,37824,38198,1033,1087,25,4,176
1500000US220710033041,38688,37375,1084,1058,8,23,392
1500000US220710033042,30186,18194,750,671,32,5,373
1500000US220710033071,39464,45556,1182,1168,20,5,334
1500000US220710033072,24741,24299,643,665,13,0,231
1500000US220710033081,48800,37411,-,-,0,0,131
1500000US220710033082,25238,21146,780,780,23,10,269
