year,exporter,expAddress,exporterCity,quant,units,importer,impAddress,impCity,,
2005,CLEAN HARBORS INC,1910 RUSSELL STREET,BALTIMORE,27887.11547,l,CLEAN HARBORS INC,R.R #1 4090 TELFER ROAD,CORUNNA,,
2005,CLEAN HARBORS INC,1910 RUSSELL STREET,BALTIMORE,681.3738,l,CLEAN HARBORS INC,2258 RIVER ROAD,LONDON,,
2005,CLEAN HARBORS INC,1910 RUSSELL STREET,BALTIMORE,485802,kg,CLEAN HARBORS INC,551 AVONHEAD ROAD,MISSISSAUGA,,
2005,CLEAN HARBORS INC,1910 RUSSELL STREET,BALTIMORE,205,kg,CLEAN HARBORS INC,551 AVONHEAD ROAD,MISSISSAUGA,,
2005,CLEAN HARBORS INC,1910 RUSSELL STREET,BALTIMORE,807,kg,CLEAN HARBORS INC,551 AVONHEAD ROAD,MISSISSAUGA,,
2005,CLEAN HARBORS INC,1910 RUSSELL STREET,BALTIMORE,961808.329,l,CLEAN HARBORS INC,6785 ROUTE 132,SAINTE-CATHERINE,,
2005,CLEAN HARBORS INC,1910 RUSSELL STREET,BALTIMORE,83801.40658,l,CLEAN HARBORS INC,6785 ROUTE 132,SAINTE-CATHERINE,,
2005,CLEAN HARBORS INC,1910 RUSSELL STREET,BALTIMORE,76843.823,l,CLEAN HARBORS INC,6785 ROUTE 132,SAINTE-CATHERINE,,
2005,CLEAN HARBORS INC,51 BRODERICK ROAD,BRISTOL,14308.8498,l,CLEAN HARBORS INC,R.R #1 4090 TELFER ROAD,CORUNNA,,
2005,CLEAN HARBORS INC,51 BRODERICK ROAD,BRISTOL,21232.36469,l,CLEAN HARBORS INC,R.R #1 4090 TELFER ROAD,CORUNNA,,
2005,CLEAN HARBORS INC,51 BRODERICK ROAD,BRISTOL,1052651.662,kg,CLEAN HARBORS INC,R.R #1 4090 TELFER ROAD,CORUNNA,,
2005,CLEAN HARBORS INC,51 BRODERICK ROAD,BRISTOL,11548.46505,kg,CLEAN HARBORS INC,R.R #1 4090 TELFER ROAD,CORUNNA,,
2005,CLEAN HARBORS INC,51 BRODERICK ROAD,BRISTOL,79902.43428,l,CLEAN HARBORS INC,1294 STE-MARGUERITE,MERCIER,,
2005,CLEAN HARBORS INC,51 BRODERICK ROAD,BRISTOL,1239502.221,l,CLEAN HARBORS INC,1294 STE-MARGUERITE,MERCIER,,
2005,CLEAN HARBORS INC,51 BRODERICK ROAD,BRISTOL,11553.45457,kg,CLEAN HARBORS INC,"CONCESSION ROAD, C.P. 280, 5E RANGE",THURSO,,
2005,CLEAN HARBORS INC,51 BRODERICK ROAD,BRISTOL,45905.82898,kg,CLEAN HARBORS INC,"CONCESSION ROAD, C.P. 280, 5E RANGE",THURSO,,
2005,CLEAN HARBORS INC,51 BRODERICK ROAD,BRISTOL,30759.01462,kg,CLEAN HARBORS INC,"CONCESSION ROAD, C.P. 280, 5E RANGE",THURSO,,
2005,CLEAN HARBORS INC,11800 SOUTH STONY ISLAND AVENUE,CHICAGO,1376821.754,l,CLEAN HARBORS INC,R.R #1 4090 TELFER ROAD,CORUNNA,,
2005,CLEAN HARBORS INC,11800 SOUTH STONY ISLAND AVENUE,CHICAGO,1010307.002,l,CLEAN HARBORS INC,R.R #1 4090 TELFER ROAD,CORUNNA,,
2005,CLEAN HARBORS INC,11800 SOUTH STONY ISLAND AVENUE,CHICAGO,9785.28485,l,CLEAN HARBORS INC,R.R #1 4090 TELFER ROAD,CORUNNA,,
2005,CLEAN HARBORS INC,11800 SOUTH STONY ISLAND AVENUE,CHICAGO,144741.3668,kg,CLEAN HARBORS INC,R.R #1 4090 TELFER ROAD,CORUNNA,,
2005,CLEAN HARBORS INC,11800 SOUTH STONY ISLAND AVENUE,CHICAGO,789745.3661,kg,CLEAN HARBORS INC,R.R #1 4090 TELFER ROAD,CORUNNA,,
2005,CLEAN HARBORS INC,11800 SOUTH STONY ISLAND AVENUE,CHICAGO,7570.82,l,CLEAN HARBORS INC,R.R #1 4090 TELFER ROAD,CORUNNA,,
2005,CLEAN HARBORS INC,11800 SOUTH STONY ISLAND AVENUE,CHICAGO,394527.0456,kg,CLEAN HARBORS INC,R.R #1 4090 TELFER ROAD,CORUNNA,,
2005,CLEAN HARBORS INC,11800 SOUTH STONY ISLAND AVENUE,CHICAGO,143743.4633,kg,CLEAN HARBORS INC,2258 RIVER ROAD,LONDON,,
2005,CLEAN HARBORS INC,11800 SOUTH STONY ISLAND AVENUE,CHICAGO,52163.13752,kg,CLEAN HARBORS INC,2258 RIVER ROAD,LONDON,,
