Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - With other types of income,Margin of Error; Total: - With other types of income,Estimate; Total: - No other types of income,Margin of Error; Total: - No other types of income
1500000US220710007012,2.2071E+11,"Block Group 2, Census Tract 7.01, Orleans Parish, Louisiana",45,21,3,4,42,20
1500000US220710007013,2.2071E+11,"Block Group 3, Census Tract 7.01, Orleans Parish, Louisiana",74,27,2,4,72,26
1500000US220710007014,2.2071E+11,"Block Group 4, Census Tract 7.01, Orleans Parish, Louisiana",75,27,11,13,64,23
1500000US220710007021,2.2071E+11,"Block Group 1, Census Tract 7.02, Orleans Parish, Louisiana",131,54,9,15,122,56
1500000US220710007022,2.2071E+11,"Block Group 2, Census Tract 7.02, Orleans Parish, Louisiana",252,68,2,5,250,67
1500000US220710007023,2.2071E+11,"Block Group 3, Census Tract 7.02, Orleans Parish, Louisiana",52,29,5,10,47,29
1500000US220710007024,2.2071E+11,"Block Group 4, Census Tract 7.02, Orleans Parish, Louisiana",176,77,0,12,176,77
1500000US220710008001,2.2071E+11,"Block Group 1, Census Tract 8, Orleans Parish, Louisiana",149,47,0,12,149,47
1500000US220710008002,2.2071E+11,"Block Group 2, Census Tract 8, Orleans Parish, Louisiana",165,53,0,12,165,53
1500000US220710008003,2.2071E+11,"Block Group 3, Census Tract 8, Orleans Parish, Louisiana",179,53,20,19,159,53
1500000US220710009011,2.2071E+11,"Block Group 1, Census Tract 9.01, Orleans Parish, Louisiana",59,28,0,12,59,28
1500000US220710009012,2.2071E+11,"Block Group 2, Census Tract 9.01, Orleans Parish, Louisiana",81,49,0,12,81,49
1500000US220710009013,2.2071E+11,"Block Group 3, Census Tract 9.01, Orleans Parish, Louisiana",38,27,0,12,38,27
1500000US220710009014,2.2071E+11,"Block Group 4, Census Tract 9.01, Orleans Parish, Louisiana",124,49,0,12,124,49
1500000US220710009021,2.2071E+11,"Block Group 1, Census Tract 9.02, Orleans Parish, Louisiana",14,10,0,12,14,10
1500000US220710009022,2.2071E+11,"Block Group 2, Census Tract 9.02, Orleans Parish, Louisiana",35,30,0,12,35,30
1500000US220710009023,2.2071E+11,"Block Group 3, Census Tract 9.02, Orleans Parish, Louisiana",67,40,3,6,64,42
1500000US220710009024,2.2071E+11,"Block Group 4, Census Tract 9.02, Orleans Parish, Louisiana",29,19,7,10,22,21
1500000US220710009031,2.2071E+11,"Block Group 1, Census Tract 9.03, Orleans Parish, Louisiana",55,31,4,6,51,30
1500000US220710009032,2.2071E+11,"Block Group 2, Census Tract 9.03, Orleans Parish, Louisiana",88,31,15,22,73,33
1500000US220710009033,2.2071E+11,"Block Group 3, Census Tract 9.03, Orleans Parish, Louisiana",22,19,0,12,22,19
1500000US220710009034,2.2071E+11,"Block Group 4, Census Tract 9.03, Orleans Parish, Louisiana",41,24,0,12,41,24
1500000US220710009041,2.2071E+11,"Block Group 1, Census Tract 9.04, Orleans Parish, Louisiana",193,51,4,7,189,52
1500000US220710009042,2.2071E+11,"Block Group 2, Census Tract 9.04, Orleans Parish, Louisiana",161,51,10,11,151,50
1500000US220710011001,2.2071E+11,"Block Group 1, Census Tract 11, Orleans Parish, Louisiana",274,72,0,12,274,72
1500000US220710011002,2.2071E+11,"Block Group 2, Census Tract 11, Orleans Parish, Louisiana",639,83,33,25,606,83
1500000US220710011003,2.2071E+11,"Block Group 3, Census Tract 11, Orleans Parish, Louisiana",0,12,0,12,0,12
1500000US220710012001,2.2071E+11,"Block Group 1, Census Tract 12, Orleans Parish, Louisiana",322,65,37,29,285,63
1500000US220710012002,2.2071E+11,"Block Group 2, Census Tract 12, Orleans Parish, Louisiana",223,49,31,20,192,49
1500000US220710012003,2.2071E+11,"Block Group 3, Census Tract 12, Orleans Parish, Louisiana",342,69,13,15,329,70
1500000US220710013011,2.2071E+11,"Block Group 1, Census Tract 13.01, Orleans Parish, Louisiana",307,58,8,9,299,59
1500000US220710013012,2.2071E+11,"Block Group 2, Census Tract 13.01, Orleans Parish, Louisiana",165,44,5,8,160,44
1500000US220710013013,2.2071E+11,"Block Group 3, Census Tract 13.01, Orleans Parish, Louisiana",160,42,24,21,136,39
1500000US220710013014,2.2071E+11,"Block Group 4, Census Tract 13.01, Orleans Parish, Louisiana",149,60,13,14,136,61
1500000US220710013021,2.2071E+11,"Block Group 1, Census Tract 13.02, Orleans Parish, Louisiana",193,52,19,22,174,55
1500000US220710013022,2.2071E+11,"Block Group 2, Census Tract 13.02, Orleans Parish, Louisiana",246,58,42,39,204,54
1500000US220710014011,2.2071E+11,"Block Group 1, Census Tract 14.01, Orleans Parish, Louisiana",113,39,17,18,96,37
1500000US220710014012,2.2071E+11,"Block Group 2, Census Tract 14.01, Orleans Parish, Louisiana",74,27,4,7,70,28
1500000US220710014013,2.2071E+11,"Block Group 3, Census Tract 14.01, Orleans Parish, Louisiana",145,49,9,14,136,48
