Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - With other types of income,Margin of Error; Total: - With other types of income,Estimate; Total: - No other types of income,Margin of Error; Total: - No other types of income
1500000US220710033031,2.2071E+11,"Block Group 1, Census Tract 33.03, Orleans Parish, Louisiana",356,70,33,24,323,68
1500000US220710033032,2.2071E+11,"Block Group 2, Census Tract 33.03, Orleans Parish, Louisiana",307,81,21,18,286,80
1500000US220710033033,2.2071E+11,"Block Group 3, Census Tract 33.03, Orleans Parish, Louisiana",176,52,25,24,151,52
1500000US220710033041,2.2071E+11,"Block Group 1, Census Tract 33.04, Orleans Parish, Louisiana",392,64,8,9,384,64
1500000US220710033042,2.2071E+11,"Block Group 2, Census Tract 33.04, Orleans Parish, Louisiana",373,60,32,28,341,58
1500000US220710033071,2.2071E+11,"Block Group 1, Census Tract 33.07, Orleans Parish, Louisiana",334,66,20,16,314,68
1500000US220710033072,2.2071E+11,"Block Group 2, Census Tract 33.07, Orleans Parish, Louisiana",231,47,13,14,218,49
1500000US220710033081,2.2071E+11,"Block Group 1, Census Tract 33.08, Orleans Parish, Louisiana",131,54,0,12,131,54
1500000US220710033082,2.2071E+11,"Block Group 2, Census Tract 33.08, Orleans Parish, Louisiana",269,75,23,36,246,76
1500000US220710033083,2.2071E+11,"Block Group 3, Census Tract 33.08, Orleans Parish, Louisiana",500,89,58,45,442,88
1500000US220710033084,2.2071E+11,"Block Group 4, Census Tract 33.08, Orleans Parish, Louisiana",215,63,22,34,193,57
1500000US220710033085,2.2071E+11,"Block Group 5, Census Tract 33.08, Orleans Parish, Louisiana",199,66,9,13,190,65
1500000US220710033086,2.2071E+11,"Block Group 6, Census Tract 33.08, Orleans Parish, Louisiana",47,32,0,12,47,32
1500000US220710034001,2.2071E+11,"Block Group 1, Census Tract 34, Orleans Parish, Louisiana",276,63,43,32,233,67
1500000US220710034002,2.2071E+11,"Block Group 2, Census Tract 34, Orleans Parish, Louisiana",408,79,10,17,398,76
1500000US220710035001,2.2071E+11,"Block Group 1, Census Tract 35, Orleans Parish, Louisiana",237,54,0,12,237,54
1500000US220710035002,2.2071E+11,"Block Group 2, Census Tract 35, Orleans Parish, Louisiana",165,56,15,22,150,53
1500000US220710035003,2.2071E+11,"Block Group 3, Census Tract 35, Orleans Parish, Louisiana",218,55,4,7,214,54
1500000US220710036001,2.2071E+11,"Block Group 1, Census Tract 36, Orleans Parish, Louisiana",210,47,40,24,170,50
1500000US220710036002,2.2071E+11,"Block Group 2, Census Tract 36, Orleans Parish, Louisiana",395,55,16,13,379,58
1500000US220710036003,2.2071E+11,"Block Group 3, Census Tract 36, Orleans Parish, Louisiana",208,59,13,20,195,56
1500000US220710037011,2.2071E+11,"Block Group 1, Census Tract 37.01, Orleans Parish, Louisiana",782,91,63,37,719,94
1500000US220710037012,2.2071E+11,"Block Group 2, Census Tract 37.01, Orleans Parish, Louisiana",248,58,15,21,233,55
1500000US220710037021,2.2071E+11,"Block Group 1, Census Tract 37.02, Orleans Parish, Louisiana",320,98,0,12,320,98
1500000US220710037022,2.2071E+11,"Block Group 2, Census Tract 37.02, Orleans Parish, Louisiana",293,89,13,22,280,92
1500000US220710037023,2.2071E+11,"Block Group 3, Census Tract 37.02, Orleans Parish, Louisiana",179,68,0,12,179,68
1500000US220710037024,2.2071E+11,"Block Group 4, Census Tract 37.02, Orleans Parish, Louisiana",255,77,19,29,236,75
1500000US220710037025,2.2071E+11,"Block Group 5, Census Tract 37.02, Orleans Parish, Louisiana",228,79,0,12,228,79
1500000US220710037026,2.2071E+11,"Block Group 6, Census Tract 37.02, Orleans Parish, Louisiana",380,101,46,45,334,99
1500000US220710038001,2.2071E+11,"Block Group 1, Census Tract 38, Orleans Parish, Louisiana",437,101,55,37,382,94
1500000US220710038002,2.2071E+11,"Block Group 2, Census Tract 38, Orleans Parish, Louisiana",420,104,33,41,387,100
1500000US220710039001,2.2071E+11,"Block Group 1, Census Tract 39, Orleans Parish, Louisiana",303,54,45,25,258,55
1500000US220710039002,2.2071E+11,"Block Group 2, Census Tract 39, Orleans Parish, Louisiana",362,71,30,33,332,69
1500000US220710040001,2.2071E+11,"Block Group 1, Census Tract 40, Orleans Parish, Louisiana",393,108,45,37,348,106
1500000US220710040002,2.2071E+11,"Block Group 2, Census Tract 40, Orleans Parish, Louisiana",528,104,80,65,448,100
1500000US220710041001,2.2071E+11,"Block Group 1, Census Tract 41, Orleans Parish, Louisiana",437,77,37,33,400,72
1500000US220710041002,2.2071E+11,"Block Group 2, Census Tract 41, Orleans Parish, Louisiana",352,58,29,24,323,58
1500000US220710044011,2.2071E+11,"Block Group 1, Census Tract 44.01, Orleans Parish, Louisiana",179,62,10,16,169,61
1500000US220710044012,2.2071E+11,"Block Group 2, Census Tract 44.01, Orleans Parish, Louisiana",153,58,0,12,153,58
1500000US220710044013,2.2071E+11,"Block Group 3, Census Tract 44.01, Orleans Parish, Louisiana",227,62,5,7,222,64
1500000US220710044021,2.2071E+11,"Block Group 1, Census Tract 44.02, Orleans Parish, Louisiana",37,62,0,12,37,62
1500000US220710044022,2.2071E+11,"Block Group 2, Census Tract 44.02, Orleans Parish, Louisiana",0,12,0,12,0,12
1500000US220710045001,2.2071E+11,"Block Group 1, Census Tract 45, Orleans Parish, Louisiana",225,68,16,15,209,69
1500000US220710045002,2.2071E+11,"Block Group 2, Census Tract 45, Orleans Parish, Louisiana",338,75,37,40,301,69
1500000US220710045003,2.2071E+11,"Block Group 3, Census Tract 45, Orleans Parish, Louisiana",479,95,26,30,453,96
1500000US220710046001,2.2071E+11,"Block Group 1, Census Tract 46, Orleans Parish, Louisiana",269,68,5,9,264,68
1500000US220710046002,2.2071E+11,"Block Group 2, Census Tract 46, Orleans Parish, Louisiana",804,94,78,51,726,94
1500000US220710046003,2.2071E+11,"Block Group 3, Census Tract 46, Orleans Parish, Louisiana",428,89,0,12,428,89
1500000US220710048001,2.2071E+11,"Block Group 1, Census Tract 48, Orleans Parish, Louisiana",376,94,23,35,353,102
1500000US220710049001,2.2071E+11,"Block Group 1, Census Tract 49, Orleans Parish, Louisiana",296,77,46,44,250,70
1500000US220710049002,2.2071E+11,"Block Group 2, Census Tract 49, Orleans Parish, Louisiana",234,64,0,12,234,64
1500000US220710049003,2.2071E+11,"Block Group 3, Census Tract 49, Orleans Parish, Louisiana",12,19,0,12,12,19
1500000US220710049004,2.2071E+11,"Block Group 4, Census Tract 49, Orleans Parish, Louisiana",119,43,6,10,113,43
1500000US220710050001,2.2071E+11,"Block Group 1, Census Tract 50, Orleans Parish, Louisiana",302,57,6,9,296,57
1500000US220710050002,2.2071E+11,"Block Group 2, Census Tract 50, Orleans Parish, Louisiana",303,59,9,14,294,59
1500000US220710054001,2.2071E+11,"Block Group 1, Census Tract 54, Orleans Parish, Louisiana",329,89,97,71,232,74
1500000US220710054002,2.2071E+11,"Block Group 2, Census Tract 54, Orleans Parish, Louisiana",324,99,8,13,316,101
1500000US220710054003,2.2071E+11,"Block Group 3, Census Tract 54, Orleans Parish, Louisiana",350,83,16,14,334,82
1500000US220710055001,2.2071E+11,"Block Group 1, Census Tract 55, Orleans Parish, Louisiana",437,74,18,21,419,73
1500000US220710055002,2.2071E+11,"Block Group 2, Census Tract 55, Orleans Parish, Louisiana",401,74,33,27,368,77
1500000US220710055003,2.2071E+11,"Block Group 3, Census Tract 55, Orleans Parish, Louisiana",370,74,18,17,352,78
1500000US220710056011,2.2071E+11,"Block Group 1, Census Tract 56.01, Orleans Parish, Louisiana",257,62,17,18,240,64
1500000US220710056012,2.2071E+11,"Block Group 2, Census Tract 56.01, Orleans Parish, Louisiana",252,55,6,8,246,55
1500000US220710056013,2.2071E+11,"Block Group 3, Census Tract 56.01, Orleans Parish, Louisiana",176,33,11,9,165,34
1500000US220710056014,2.2071E+11,"Block Group 4, Census Tract 56.01, Orleans Parish, Louisiana",191,37,16,18,175,38
1500000US220710056021,2.2071E+11,"Block Group 1, Census Tract 56.02, Orleans Parish, Louisiana",156,39,14,14,142,41
1500000US220710056022,2.2071E+11,"Block Group 2, Census Tract 56.02, Orleans Parish, Louisiana",327,51,17,15,310,52
1500000US220710056023,2.2071E+11,"Block Group 3, Census Tract 56.02, Orleans Parish, Louisiana",295,56,6,10,289,56
1500000US220710056024,2.2071E+11,"Block Group 4, Census Tract 56.02, Orleans Parish, Louisiana",173,55,11,13,162,53
1500000US220710056031,2.2071E+11,"Block Group 1, Census Tract 56.03, Orleans Parish, Louisiana",215,44,39,36,176,39
1500000US220710056032,2.2071E+11,"Block Group 2, Census Tract 56.03, Orleans Parish, Louisiana",228,48,20,19,208,49
1500000US220710056033,2.2071E+11,"Block Group 3, Census Tract 56.03, Orleans Parish, Louisiana",168,44,16,18,152,44
1500000US220710056041,2.2071E+11,"Block Group 1, Census Tract 56.04, Orleans Parish, Louisiana",195,57,23,19,172,55
1500000US220710056042,2.2071E+11,"Block Group 2, Census Tract 56.04, Orleans Parish, Louisiana",229,44,28,29,201,46
1500000US220710056043,2.2071E+11,"Block Group 3, Census Tract 56.04, Orleans Parish, Louisiana",174,39,17,28,157,36
1500000US220710060001,2.2071E+11,"Block Group 1, Census Tract 60, Orleans Parish, Louisiana",584,66,14,17,570,69
1500000US220710063001,2.2071E+11,"Block Group 1, Census Tract 63, Orleans Parish, Louisiana",363,68,26,25,337,64
1500000US220710063002,2.2071E+11,"Block Group 2, Census Tract 63, Orleans Parish, Louisiana",77,40,30,33,47,26
1500000US220710063003,2.2071E+11,"Block Group 3, Census Tract 63, Orleans Parish, Louisiana",229,61,8,13,221,61
1500000US220710064001,2.2071E+11,"Block Group 1, Census Tract 64, Orleans Parish, Louisiana",253,60,32,28,221,63
1500000US220710064002,2.2071E+11,"Block Group 2, Census Tract 64, Orleans Parish, Louisiana",331,78,8,12,323,79
1500000US220710064003,2.2071E+11,"Block Group 3, Census Tract 64, Orleans Parish, Louisiana",202,63,20,23,182,60
1500000US220710064004,2.2071E+11,"Block Group 4, Census Tract 64, Orleans Parish, Louisiana",242,60,0,12,242,60
1500000US220710065001,2.2071E+11,"Block Group 1, Census Tract 65, Orleans Parish, Louisiana",418,75,20,30,398,75
1500000US220710065002,2.2071E+11,"Block Group 2, Census Tract 65, Orleans Parish, Louisiana",375,68,44,39,331,64
1500000US220710065003,2.2071E+11,"Block Group 3, Census Tract 65, Orleans Parish, Louisiana",391,76,21,30,370,72
1500000US220710069001,2.2071E+11,"Block Group 1, Census Tract 69, Orleans Parish, Louisiana",103,37,0,12,103,37
1500000US220710069002,2.2071E+11,"Block Group 2, Census Tract 69, Orleans Parish, Louisiana",19,17,0,12,19,17
1500000US220710069003,2.2071E+11,"Block Group 3, Census Tract 69, Orleans Parish, Louisiana",153,40,22,19,131,42
1500000US220710070001,2.2071E+11,"Block Group 1, Census Tract 70, Orleans Parish, Louisiana",70,44,16,18,54,43
1500000US220710070002,2.2071E+11,"Block Group 2, Census Tract 70, Orleans Parish, Louisiana",136,38,4,8,132,39
1500000US220710071011,2.2071E+11,"Block Group 1, Census Tract 71.01, Orleans Parish, Louisiana",329,63,12,14,317,62
1500000US220710071012,2.2071E+11,"Block Group 2, Census Tract 71.01, Orleans Parish, Louisiana",790,88,36,29,754,86
1500000US220710072001,2.2071E+11,"Block Group 1, Census Tract 72, Orleans Parish, Louisiana",630,88,31,31,599,90
1500000US220710072002,2.2071E+11,"Block Group 2, Census Tract 72, Orleans Parish, Louisiana",278,81,21,24,257,85
1500000US220710072003,2.2071E+11,"Block Group 3, Census Tract 72, Orleans Parish, Louisiana",119,48,19,19,100,45
1500000US220710075011,2.2071E+11,"Block Group 1, Census Tract 75.01, Orleans Parish, Louisiana",206,70,14,15,192,69
1500000US220710075012,2.2071E+11,"Block Group 2, Census Tract 75.01, Orleans Parish, Louisiana",220,64,15,21,205,68
1500000US220710075013,2.2071E+11,"Block Group 3, Census Tract 75.01, Orleans Parish, Louisiana",217,69,10,15,207,69
1500000US220710075014,2.2071E+11,"Block Group 4, Census Tract 75.01, Orleans Parish, Louisiana",188,66,18,25,170,62
1500000US220710075015,2.2071E+11,"Block Group 5, Census Tract 75.01, Orleans Parish, Louisiana",139,66,20,25,119,61
1500000US220710075021,2.2071E+11,"Block Group 1, Census Tract 75.02, Orleans Parish, Louisiana",116,61,9,13,107,60
1500000US220710075022,2.2071E+11,"Block Group 2, Census Tract 75.02, Orleans Parish, Louisiana",131,65,10,14,121,62
1500000US220710075023,2.2071E+11,"Block Group 3, Census Tract 75.02, Orleans Parish, Louisiana",311,64,31,30,280,65
1500000US220710075024,2.2071E+11,"Block Group 4, Census Tract 75.02, Orleans Parish, Louisiana",162,70,30,31,132,64
1500000US220710075025,2.2071E+11,"Block Group 5, Census Tract 75.02, Orleans Parish, Louisiana",287,84,0,12,287,84
1500000US220710076041,2.2071E+11,"Block Group 1, Census Tract 76.04, Orleans Parish, Louisiana",369,63,14,10,355,65
1500000US220710076042,2.2071E+11,"Block Group 2, Census Tract 76.04, Orleans Parish, Louisiana",286,40,48,30,238,45
1500000US220710076051,2.2071E+11,"Block Group 1, Census Tract 76.05, Orleans Parish, Louisiana",275,52,35,32,240,57
1500000US220710076052,2.2071E+11,"Block Group 2, Census Tract 76.05, Orleans Parish, Louisiana",334,48,18,18,316,46
1500000US220710076061,2.2071E+11,"Block Group 1, Census Tract 76.06, Orleans Parish, Louisiana",761,102,31,23,730,101
1500000US220710076062,2.2071E+11,"Block Group 2, Census Tract 76.06, Orleans Parish, Louisiana",432,83,18,30,414,82
1500000US220710076063,2.2071E+11,"Block Group 3, Census Tract 76.06, Orleans Parish, Louisiana",636,93,21,23,615,95
1500000US220710077001,2.2071E+11,"Block Group 1, Census Tract 77, Orleans Parish, Louisiana",877,121,9,14,868,120
1500000US220710077002,2.2071E+11,"Block Group 2, Census Tract 77, Orleans Parish, Louisiana",751,119,154,73,597,105
1500000US220710078001,2.2071E+11,"Block Group 1, Census Tract 78, Orleans Parish, Louisiana",671,73,73,48,598,80
1500000US220710082001,2.2071E+11,"Block Group 1, Census Tract 82, Orleans Parish, Louisiana",454,94,28,40,426,93
1500000US220710082002,2.2071E+11,"Block Group 2, Census Tract 82, Orleans Parish, Louisiana",482,105,40,37,442,107
1500000US220710083001,2.2071E+11,"Block Group 1, Census Tract 83, Orleans Parish, Louisiana",321,52,33,22,288,51
1500000US220710083002,2.2071E+11,"Block Group 2, Census Tract 83, Orleans Parish, Louisiana",232,55,0,12,232,55
1500000US220710084001,2.2071E+11,"Block Group 1, Census Tract 84, Orleans Parish, Louisiana",336,72,43,31,293,72
1500000US220710084002,2.2071E+11,"Block Group 2, Census Tract 84, Orleans Parish, Louisiana",358,67,16,18,342,69
1500000US220710085001,2.2071E+11,"Block Group 1, Census Tract 85, Orleans Parish, Louisiana",330,97,16,25,314,98
1500000US220710085002,2.2071E+11,"Block Group 2, Census Tract 85, Orleans Parish, Louisiana",245,84,10,12,235,82
1500000US220710086001,2.2071E+11,"Block Group 1, Census Tract 86, Orleans Parish, Louisiana",216,49,14,16,202,48
1500000US220710086002,2.2071E+11,"Block Group 2, Census Tract 86, Orleans Parish, Louisiana",199,47,17,12,182,48
1500000US220710088001,2.2071E+11,"Block Group 1, Census Tract 88, Orleans Parish, Louisiana",411,85,45,34,366,84
1500000US220710088002,2.2071E+11,"Block Group 2, Census Tract 88, Orleans Parish, Louisiana",456,82,35,39,421,81
1500000US220710090001,2.2071E+11,"Block Group 1, Census Tract 90, Orleans Parish, Louisiana",305,75,25,28,280,75
1500000US220710090002,2.2071E+11,"Block Group 2, Census Tract 90, Orleans Parish, Louisiana",286,78,10,17,276,80
1500000US220710090003,2.2071E+11,"Block Group 3, Census Tract 90, Orleans Parish, Louisiana",428,92,27,28,401,97
1500000US220710091001,2.2071E+11,"Block Group 1, Census Tract 91, Orleans Parish, Louisiana",342,105,9,14,333,108
1500000US220710091002,2.2071E+11,"Block Group 2, Census Tract 91, Orleans Parish, Louisiana",186,68,6,14,180,65
1500000US220710091003,2.2071E+11,"Block Group 3, Census Tract 91, Orleans Parish, Louisiana",181,84,0,12,181,84
1500000US220710091004,2.2071E+11,"Block Group 4, Census Tract 91, Orleans Parish, Louisiana",409,98,50,54,359,109
1500000US220710092001,2.2071E+11,"Block Group 1, Census Tract 92, Orleans Parish, Louisiana",150,69,0,12,150,69
1500000US220710092002,2.2071E+11,"Block Group 2, Census Tract 92, Orleans Parish, Louisiana",216,56,61,43,155,58
1500000US220710092003,2.2071E+11,"Block Group 3, Census Tract 92, Orleans Parish, Louisiana",243,62,0,12,243,62
1500000US220710094001,2.2071E+11,"Block Group 1, Census Tract 94, Orleans Parish, Louisiana",164,57,13,15,151,58
1500000US220710094002,2.2071E+11,"Block Group 2, Census Tract 94, Orleans Parish, Louisiana",74,39,2,6,72,40
1500000US220710094003,2.2071E+11,"Block Group 3, Census Tract 94, Orleans Parish, Louisiana",114,48,5,8,109,48
1500000US220710094004,2.2071E+11,"Block Group 4, Census Tract 94, Orleans Parish, Louisiana",150,44,6,9,144,43
1500000US220710096001,2.2071E+11,"Block Group 1, Census Tract 96, Orleans Parish, Louisiana",262,59,0,12,262,59
1500000US220710096002,2.2071E+11,"Block Group 2, Census Tract 96, Orleans Parish, Louisiana",246,59,10,12,236,59
1500000US220710096003,2.2071E+11,"Block Group 3, Census Tract 96, Orleans Parish, Louisiana",228,53,50,34,178,56
1500000US220710097001,2.2071E+11,"Block Group 1, Census Tract 97, Orleans Parish, Louisiana",368,61,18,21,350,60
1500000US220710097002,2.2071E+11,"Block Group 2, Census Tract 97, Orleans Parish, Louisiana",353,66,58,53,295,69
1500000US220710099001,2.2071E+11,"Block Group 1, Census Tract 99, Orleans Parish, Louisiana",520,87,32,34,488,90
1500000US220710099002,2.2071E+11,"Block Group 2, Census Tract 99, Orleans Parish, Louisiana",443,77,10,17,433,78
1500000US220710099003,2.2071E+11,"Block Group 3, Census Tract 99, Orleans Parish, Louisiana",475,98,36,30,439,96
1500000US220710100001,2.2071E+11,"Block Group 1, Census Tract 100, Orleans Parish, Louisiana",142,60,10,15,132,59
1500000US220710100002,2.2071E+11,"Block Group 2, Census Tract 100, Orleans Parish, Louisiana",193,54,6,10,187,56
1500000US220710100003,2.2071E+11,"Block Group 3, Census Tract 100, Orleans Parish, Louisiana",308,69,21,22,287,68
1500000US220710100004,2.2071E+11,"Block Group 4, Census Tract 100, Orleans Parish, Louisiana",121,38,8,13,113,38
1500000US220710101001,2.2071E+11,"Block Group 1, Census Tract 101, Orleans Parish, Louisiana",318,83,35,32,283,73
1500000US220710101002,2.2071E+11,"Block Group 2, Census Tract 101, Orleans Parish, Louisiana",607,87,53,46,554,87
1500000US220710102001,2.2071E+11,"Block Group 1, Census Tract 102, Orleans Parish, Louisiana",151,63,53,42,98,63
1500000US220710102002,2.2071E+11,"Block Group 2, Census Tract 102, Orleans Parish, Louisiana",102,52,0,12,102,52
1500000US220710102003,2.2071E+11,"Block Group 3, Census Tract 102, Orleans Parish, Louisiana",128,55,0,12,128,55
1500000US220710102004,2.2071E+11,"Block Group 4, Census Tract 102, Orleans Parish, Louisiana",155,48,18,21,137,48
1500000US220710102005,2.2071E+11,"Block Group 5, Census Tract 102, Orleans Parish, Louisiana",200,53,45,38,155,63
1500000US220710103001,2.2071E+11,"Block Group 1, Census Tract 103, Orleans Parish, Louisiana",259,87,6,8,253,88
1500000US220710103002,2.2071E+11,"Block Group 2, Census Tract 103, Orleans Parish, Louisiana",329,88,46,44,283,97
1500000US220710103003,2.2071E+11,"Block Group 3, Census Tract 103, Orleans Parish, Louisiana",263,57,13,18,250,62
1500000US220710103004,2.2071E+11,"Block Group 4, Census Tract 103, Orleans Parish, Louisiana",182,82,11,11,171,81
1500000US220710106001,2.2071E+11,"Block Group 1, Census Tract 106, Orleans Parish, Louisiana",316,60,37,40,279,54
1500000US220710106002,2.2071E+11,"Block Group 2, Census Tract 106, Orleans Parish, Louisiana",366,75,12,12,354,75
1500000US220710107001,2.2071E+11,"Block Group 1, Census Tract 107, Orleans Parish, Louisiana",280,61,4,7,276,61
1500000US220710107002,2.2071E+11,"Block Group 2, Census Tract 107, Orleans Parish, Louisiana",593,85,8,12,585,84
1500000US220710108001,2.2071E+11,"Block Group 1, Census Tract 108, Orleans Parish, Louisiana",173,42,28,23,145,40
1500000US220710108002,2.2071E+11,"Block Group 2, Census Tract 108, Orleans Parish, Louisiana",492,62,12,18,480,64
1500000US220710109001,2.2071E+11,"Block Group 1, Census Tract 109, Orleans Parish, Louisiana",269,76,54,49,215,77
1500000US220710109002,2.2071E+11,"Block Group 2, Census Tract 109, Orleans Parish, Louisiana",504,92,37,31,467,88
1500000US220710109003,2.2071E+11,"Block Group 3, Census Tract 109, Orleans Parish, Louisiana",381,90,52,53,329,90
1500000US220710109004,2.2071E+11,"Block Group 4, Census Tract 109, Orleans Parish, Louisiana",272,84,57,50,215,77
1500000US220710111001,2.2071E+11,"Block Group 1, Census Tract 111, Orleans Parish, Louisiana",192,59,22,28,170,52
1500000US220710111002,2.2071E+11,"Block Group 2, Census Tract 111, Orleans Parish, Louisiana",291,68,17,15,274,71
1500000US220710111003,2.2071E+11,"Block Group 3, Census Tract 111, Orleans Parish, Louisiana",154,50,49,35,105,37
1500000US220710112001,2.2071E+11,"Block Group 1, Census Tract 112, Orleans Parish, Louisiana",288,62,10,15,278,60
1500000US220710112002,2.2071E+11,"Block Group 2, Census Tract 112, Orleans Parish, Louisiana",309,45,47,29,262,50
1500000US220710114001,2.2071E+11,"Block Group 1, Census Tract 114, Orleans Parish, Louisiana",445,86,34,28,411,87
1500000US220710114002,2.2071E+11,"Block Group 2, Census Tract 114, Orleans Parish, Louisiana",555,83,39,34,516,89
1500000US220710115001,2.2071E+11,"Block Group 1, Census Tract 115, Orleans Parish, Louisiana",286,52,12,13,274,55
1500000US220710115002,2.2071E+11,"Block Group 2, Census Tract 115, Orleans Parish, Louisiana",350,73,14,17,336,72
1500000US220710116001,2.2071E+11,"Block Group 1, Census Tract 116, Orleans Parish, Louisiana",354,54,5,8,349,54
1500000US220710116002,2.2071E+11,"Block Group 2, Census Tract 116, Orleans Parish, Louisiana",304,40,12,13,292,41
1500000US220710117001,2.2071E+11,"Block Group 1, Census Tract 117, Orleans Parish, Louisiana",210,64,8,12,202,62
1500000US220710117002,2.2071E+11,"Block Group 2, Census Tract 117, Orleans Parish, Louisiana",240,58,17,19,223,60
1500000US220710117003,2.2071E+11,"Block Group 3, Census Tract 117, Orleans Parish, Louisiana",315,75,8,13,307,76
1500000US220710117004,2.2071E+11,"Block Group 4, Census Tract 117, Orleans Parish, Louisiana",330,60,28,27,302,62
1500000US220710119001,2.2071E+11,"Block Group 1, Census Tract 119, Orleans Parish, Louisiana",226,61,26,32,200,58
1500000US220710119002,2.2071E+11,"Block Group 2, Census Tract 119, Orleans Parish, Louisiana",247,49,7,11,240,50
1500000US220710119003,2.2071E+11,"Block Group 3, Census Tract 119, Orleans Parish, Louisiana",225,53,22,21,203,54
1500000US220710120001,2.2071E+11,"Block Group 1, Census Tract 120, Orleans Parish, Louisiana",504,55,29,19,475,56
1500000US220710120002,2.2071E+11,"Block Group 2, Census Tract 120, Orleans Parish, Louisiana",176,36,20,22,156,34
1500000US220710121011,2.2071E+11,"Block Group 1, Census Tract 121.01, Orleans Parish, Louisiana",406,62,59,42,347,62
1500000US220710121012,2.2071E+11,"Block Group 2, Census Tract 121.01, Orleans Parish, Louisiana",429,60,52,36,377,60
1500000US220710121021,2.2071E+11,"Block Group 1, Census Tract 121.02, Orleans Parish, Louisiana",203,41,0,12,203,41
1500000US220710121022,2.2071E+11,"Block Group 2, Census Tract 121.02, Orleans Parish, Louisiana",16,9,4,6,12,12
1500000US220710121023,2.2071E+11,"Block Group 3, Census Tract 121.02, Orleans Parish, Louisiana",219,47,11,13,208,47
1500000US220710122001,2.2071E+11,"Block Group 1, Census Tract 122, Orleans Parish, Louisiana",495,70,31,22,464,74
1500000US220710122002,2.2071E+11,"Block Group 2, Census Tract 122, Orleans Parish, Louisiana",426,73,31,31,395,74
1500000US220710123001,2.2071E+11,"Block Group 1, Census Tract 123, Orleans Parish, Louisiana",229,62,17,17,212,66
1500000US220710123002,2.2071E+11,"Block Group 2, Census Tract 123, Orleans Parish, Louisiana",336,74,49,55,287,76
1500000US220710123003,2.2071E+11,"Block Group 3, Census Tract 123, Orleans Parish, Louisiana",344,71,47,41,297,60
1500000US220710124001,2.2071E+11,"Block Group 1, Census Tract 124, Orleans Parish, Louisiana",267,76,0,12,267,76
1500000US220710124002,2.2071E+11,"Block Group 2, Census Tract 124, Orleans Parish, Louisiana",405,62,22,19,383,60
1500000US220710125001,2.2071E+11,"Block Group 1, Census Tract 125, Orleans Parish, Louisiana",278,57,7,6,271,57
1500000US220710125002,2.2071E+11,"Block Group 2, Census Tract 125, Orleans Parish, Louisiana",528,71,32,21,496,73
1500000US220710126001,2.2071E+11,"Block Group 1, Census Tract 126, Orleans Parish, Louisiana",294,49,36,28,258,49
1500000US220710126002,2.2071E+11,"Block Group 2, Census Tract 126, Orleans Parish, Louisiana",317,64,10,13,307,61
1500000US220710126003,2.2071E+11,"Block Group 3, Census Tract 126, Orleans Parish, Louisiana",270,59,0,12,270,59
1500000US220710127001,2.2071E+11,"Block Group 1, Census Tract 127, Orleans Parish, Louisiana",343,77,0,12,343,77
1500000US220710127002,2.2071E+11,"Block Group 2, Census Tract 127, Orleans Parish, Louisiana",209,60,26,24,183,59
1500000US220710127003,2.2071E+11,"Block Group 3, Census Tract 127, Orleans Parish, Louisiana",220,67,0,12,220,67
1500000US220710127004,2.2071E+11,"Block Group 4, Census Tract 127, Orleans Parish, Louisiana",235,47,38,26,197,50
1500000US220710128001,2.2071E+11,"Block Group 1, Census Tract 128, Orleans Parish, Louisiana",253,71,30,28,223,71
1500000US220710128002,2.2071E+11,"Block Group 2, Census Tract 128, Orleans Parish, Louisiana",340,58,7,10,333,59
1500000US220710128003,2.2071E+11,"Block Group 3, Census Tract 128, Orleans Parish, Louisiana",378,61,31,26,347,59
1500000US220710129001,2.2071E+11,"Block Group 1, Census Tract 129, Orleans Parish, Louisiana",470,68,13,14,457,72
1500000US220710129002,2.2071E+11,"Block Group 2, Census Tract 129, Orleans Parish, Louisiana",283,59,42,36,241,57
1500000US220710130001,2.2071E+11,"Block Group 1, Census Tract 130, Orleans Parish, Louisiana",293,78,42,39,251,82
1500000US220710130002,2.2071E+11,"Block Group 2, Census Tract 130, Orleans Parish, Louisiana",239,67,51,32,188,63
1500000US220710130003,2.2071E+11,"Block Group 3, Census Tract 130, Orleans Parish, Louisiana",214,64,18,20,196,62
1500000US220710131001,2.2071E+11,"Block Group 1, Census Tract 131, Orleans Parish, Louisiana",115,44,0,12,115,44
1500000US220710131002,2.2071E+11,"Block Group 2, Census Tract 131, Orleans Parish, Louisiana",146,44,20,21,126,42
1500000US220710131003,2.2071E+11,"Block Group 3, Census Tract 131, Orleans Parish, Louisiana",157,49,4,6,153,50
1500000US220710131004,2.2071E+11,"Block Group 4, Census Tract 131, Orleans Parish, Louisiana",143,56,24,24,119,48
1500000US220710132001,2.2071E+11,"Block Group 1, Census Tract 132, Orleans Parish, Louisiana",208,66,33,25,175,70
1500000US220710132002,2.2071E+11,"Block Group 2, Census Tract 132, Orleans Parish, Louisiana",313,101,0,12,313,101
1500000US220710132003,2.2071E+11,"Block Group 3, Census Tract 132, Orleans Parish, Louisiana",294,85,10,16,284,85
1500000US220710132004,2.2071E+11,"Block Group 4, Census Tract 132, Orleans Parish, Louisiana",245,63,47,43,198,60
1500000US220710133011,2.2071E+11,"Block Group 1, Census Tract 133.01, Orleans Parish, Louisiana",315,60,31,28,284,67
