Id,Id,Year,Total,White,Black or African American,American Indian or Alaskan Native,Asian,,Hispanic,Some other race
2.2071E+11,1500000US220710017061,1990,222,0,222,0,0,,0,0
2.2071E+11,1500000US220710033081,1990,705,324,364,0,0,,22,17
2.2071E+11,1500000US220710033086,1990,600,9,591,0,0,,5,0
2.2071E+11,1500000US220710033085,1990,1898,121,1741,0,16,,20,20
2.2071E+11,1500000US220710025024,1990,436,138,298,0,0,,14,0
2.2071E+11,1500000US220710025014,1990,594,414,171,0,9,,75,0
2.2071E+11,1500000US220710017022,1990,765,125,605,0,0,,72,35
2.2071E+11,1500000US220710017023,1990,453,111,319,0,0,,41,23
2.2071E+11,1500000US220710017024,1990,771,177,594,0,0,,12,0
2.2071E+11,1500000US220710017991,1990,19,19,0,0,0,,0,0
2.2071E+11,1500000US220710076032,1990,1078,1067,11,0,0,,38,0
2.2071E+11,1500000US220710056022,1990,939,939,0,0,0,,20,0
2.2071E+11,1500000US220710017025,1990,888,324,564,0,0,,21,0
2.2071E+11,1500000US220710017026,1990,1336,1090,225,0,21,,33,0
2.2071E+11,1500000US220710025031,1990,593,443,133,0,0,,65,17
2.2071E+11,1500000US220710025044,1990,579,353,206,0,0,,20,20
2.2071E+11,1500000US220710025041,1990,640,324,316,0,0,,44,0
2.2071E+11,1500000US220710056013,1990,551,551,0,0,0,,58,0
2.2071E+11,1500000US220710076033,1990,1658,1636,0,0,0,,73,22
2.2071E+11,1500000US220710017227,1990,623,0,623,0,0,,0,0
2.2071E+11,1500000US220710046001,1990,0,0,0,0,0,,0,0
2.2071E+11,1500000US220710017203,1990,1901,128,1773,0,0,,74,0
2.2071E+11,1500000US220710056014,1990,631,614,0,0,17,,12,0
2.2071E+11,1500000US220710056011,1990,841,823,0,6,0,,25,12
2.2071E+11,1500000US220710025023,1990,896,159,725,12,0,,6,0
2.2071E+11,1500000US220710056024,1990,644,644,0,0,0,,8,0
2.2071E+11,1500000US220710017222,1990,1094,279,781,0,0,,0,34
2.2071E+11,1500000US220710056021,1990,780,766,0,0,0,,30,14
2.2071E+11,1500000US220710025013,1990,476,288,188,0,0,,12,0
2.2071E+11,1500000US220710017226,1990,1103,0,1103,0,0,,9,0
2.2071E+11,1500000US220710033041,1990,575,430,125,0,17,,14,3
2.2071E+11,1500000US220710017021,1990,492,132,360,0,0,,0,0
2.2071E+11,1500000US220710033044,1990,808,418,351,0,10,,90,29
2.2071E+11,1500000US220710033032,1990,578,393,135,0,36,,52,14
2.2071E+11,1500000US220710033033,1990,769,515,193,0,42,,73,19
2.2071E+11,1500000US220710033034,1990,675,474,157,18,10,,39,16
2.2071E+11,1500000US220710133016,1990,434,434,0,0,0,,22,0
2.2071E+11,1500000US220710017223,1990,1678,123,1555,0,0,,0,0
2.2071E+11,1500000US220710025022,1990,859,282,577,0,0,,76,0
2.2071E+11,1500000US220710017013,1990,920,0,920,0,0,,19,0
2.2071E+11,1500000US220710025012,1990,791,570,203,0,11,,56,7
2.2071E+11,1500000US220710017224,1990,622,62,560,0,0,,0,0
2.2071E+11,1500000US220710017225,1990,1796,94,1694,0,8,,18,0
2.2071E+11,1500000US220710033011,1990,1095,1011,84,0,0,,49,0
2.2071E+11,1500000US220710033012,1990,277,267,10,0,0,,0,0
2.2071E+11,1500000US220710033013,1990,575,536,39,0,0,,10,0
2.2071E+11,1500000US220710033014,1990,805,478,210,0,117,,14,0
2.2071E+11,1500000US220710017214,1990,2784,268,2496,20,0,,13,0
2.2071E+11,1500000US220710025021,1990,1120,106,1014,0,0,,31,0
2.2071E+11,1500000US220710017231,1990,1098,764,334,0,0,,54,0
2.2071E+11,1500000US220710017232,1990,1924,1176,748,0,0,,60,0
2.2071E+11,1500000US220710025011,1990,536,298,238,0,0,,19,0
2.2071E+11,1500000US220710017323,1990,738,563,175,0,0,,17,0
2.2071E+11,1500000US220710017322,1990,1336,816,504,0,7,,45,9
2.2071E+11,1500000US220710017233,1990,1110,658,452,0,0,,34,0
2.2071E+11,1500000US220710006141,1990,1019,1009,0,0,10,,16,0
2.2071E+11,1500000US220710017234,1990,1049,478,571,0,0,,33,0
2.2071E+11,1500000US220710133012,1990,719,719,0,0,0,,17,0
2.2071E+11,1500000US220710033031,1990,380,293,55,0,28,,16,4
2.2071E+11,1500000US220710017202,1990,739,224,515,0,0,,50,0
2.2071E+11,1500000US220710017221,1990,892,166,720,6,0,,0,0
2.2071E+11,1500000US220710133015,1990,403,385,0,18,0,,29,0
2.2071E+11,1500000US220710017283,1990,2426,825,1570,0,0,,47,31
2.2071E+11,1500000US220710017243,1990,3266,1519,1703,0,44,,97,0
2.2071E+11,1500000US220710017204,1990,1297,309,961,0,7,,20,20
2.2071E+11,1500000US220710017265,1990,2166,440,1705,0,0,,20,21
2.2071E+11,1500000US220710017212,1990,2559,296,2237,0,10,,45,16
2.2071E+11,1500000US220710133022,1990,973,906,28,0,39,,26,0
2.2071E+11,1500000US220710017011,1990,1142,0,1142,0,0,,0,0
2.2071E+11,1500000US220710017213,1990,1644,72,1572,0,0,,15,0
2.2071E+11,1500000US220710017012,1990,664,5,659,0,0,,5,0
2.2071E+11,1500000US220710133014,1990,385,385,0,0,0,,19,0
2.2071E+11,1500000US220710017014,1990,199,0,199,0,0,,0,0
2.2071E+11,1500000US220710017321,1990,1362,841,521,0,0,,0,0
2.2071E+11,1500000US220710133013,1990,707,707,0,0,0,,38,0
2.2071E+11,1500000US220710017201,1990,1095,689,406,0,0,,0,0
2.2071E+11,1500000US220710133017,1990,476,476,0,0,0,,0,0
2.2071E+11,1500000US220710017273,1990,1670,293,1355,0,22,,48,0
2.2071E+11,1500000US220710017301,1990,1496,443,960,14,79,,21,0
2.2071E+11,1500000US220710017252,1990,1603,939,664,0,0,,42,0
2.2071E+11,1500000US220710017292,1990,1530,450,894,0,186,,9,0
2.2071E+11,1500000US220710017291,1990,2678,160,1271,0,1247,,78,0
2.2071E+11,1500000US220710017253,1990,1939,647,1190,0,31,,130,71
2.2071E+11,1500000US220710017274,1990,1588,218,1353,9,0,,0,8
2.2071E+11,1500000US220710017281,1990,600,201,353,0,46,,0,0
2.2071E+11,1500000US220710017293,1990,6399,449,2689,18,3243,,52,0
2.2071E+11,1500000US220710017282,1990,3872,641,3104,0,77,,90,50
2.2071E+11,1500000US220710017324,1990,1181,635,426,0,120,,28,0
2.2071E+11,1500000US220710017241,1990,960,507,403,0,0,,0,50
2.2071E+11,1500000US220710017211,1990,2042,197,1824,0,21,,25,0
2.2071E+11,1500000US220710017242,1990,1469,1106,231,0,132,,67,0
2.2071E+11,1500000US220710133011,1990,405,405,0,0,0,,0,0
2.2071E+11,1500000US220710133021,1990,1569,1204,246,0,119,,23,0
2.2071E+11,1500000US220710017249,1990,0,0,0,0,0,,0,0
2.2071E+11,1500000US220710017254,1990,1838,743,1070,0,0,,25,25
2.2071E+11,1500000US220710017261,1990,5602,774,4726,8,10,,227,84
2.2071E+11,1500000US220710017341,1990,1660,1654,0,0,6,,43,0
2.2071E+11,1500000US220710017271,1990,2828,586,2204,0,30,,42,8
2.2071E+11,1500000US220710017262,1990,3328,1368,1898,0,62,,11,0
2.2071E+11,1500000US220710017325,1990,2901,987,1739,0,168,,57,7
2.2071E+11,1500000US220710017263,1990,950,520,430,0,0,,36,0
2.2071E+11,1500000US220710017264,1990,649,549,91,9,0,,15,0
2.2071E+11,1500000US220710017272,1990,1948,177,1685,0,71,,0,15
2.2071E+11,1500000US220710017251,1990,2248,1259,962,0,18,,71,9
2.2071E+11,1500000US220710114003,1990,514,465,28,0,0,,21,21
2.2071E+11,1500000US220710104001,1990,425,255,151,0,19,,6,0
2.2071E+11,1500000US220710097002,1990,579,125,454,0,0,,0,0
2.2071E+11,1500000US220710114002,1990,417,403,14,0,0,,0,0
2.2071E+11,1500000US220710105002,1990,539,208,331,0,0,,7,0
2.2071E+11,1500000US220710106002,1990,755,150,600,0,0,,14,5
2.2071E+11,1500000US220710006142,1990,235,235,0,0,0,,10,0
2.2071E+11,1500000US220710104991,1990,30,0,30,0,0,,0,0
2.2071E+11,1500000US220710006143,1990,2089,1854,173,0,62,,10,0
2.2071E+11,1500000US220710006144,1990,3218,1442,1680,0,36,,170,60
2.2071E+11,1500000US220710134981,1990,0,0,0,0,0,,0,0
2.2071E+11,1500000US220710134984,1990,0,0,0,0,0,,0,0
2.2071E+11,1500000US220710076031,1990,1882,1879,0,0,0,,74,3
2.2071E+11,1500000US220710114004,1990,698,672,0,0,11,,47,15
2.2071E+11,1500000US220710096003,1990,756,120,636,0,0,,15,0
2.2071E+11,1500000US220710115003,1990,566,553,0,13,0,,8,0
2.2071E+11,1500000US220710087002,1990,408,42,357,0,0,,9,9
2.2071E+11,1500000US220710114001,1990,442,356,56,0,0,,48,30
2.2071E+11,1500000US220710096002,1990,672,287,385,0,0,,12,0
2.2071E+11,1500000US220710097001,1990,610,168,427,0,15,,0,0
2.2071E+11,1500000US220710097003,1990,396,175,176,0,45,,10,0
2.2071E+11,1500000US220710106003,1990,453,261,174,18,0,,0,0
2.2071E+11,1500000US220710105001,1990,571,289,249,0,0,,46,33
2.2071E+11,1500000US220710106001,1990,577,238,334,0,0,,16,5
2.2071E+11,1500000US220710105003,1990,380,190,190,0,0,,11,0
2.2071E+11,1500000US220710006081,1990,1291,925,322,22,22,,64,0
2.2071E+11,1500000US220710081023,1990,102,28,74,0,0,,0,0
2.2071E+11,1500000US220710088003,1990,583,57,526,0,0,,0,0
2.2071E+11,1500000US220710006133,1990,1632,611,945,46,0,,51,30
2.2071E+11,1500000US220710006121,1990,325,230,95,0,0,,0,0
2.2071E+11,1500000US220710006083,1990,3080,2295,684,12,51,,138,38
2.2071E+11,1500000US220710089003,1990,528,203,309,0,0,,53,16
2.2071E+11,1500000US220710108002,1990,616,384,228,0,0,,26,4
2.2071E+11,1500000US220710089002,1990,514,78,388,0,0,,53,48
2.2071E+11,1500000US220710087001,1990,396,22,374,0,0,,0,0
2.2071E+11,1500000US220710107002,1990,565,255,302,0,0,,61,8
2.2071E+11,1500000US220710099003,1990,510,346,155,0,9,,26,0
2.2071E+11,1500000US220710107003,1990,729,240,473,7,9,,14,0
2.2071E+11,1500000US220710096001,1990,475,308,119,0,0,,91,48
2.2071E+11,1500000US220710006082,1990,3227,2901,231,0,27,,124,68
2.2071E+11,1500000US220710116002,1990,479,415,64,0,0,,32,0
2.2071E+11,1500000US220710116001,1990,477,430,47,0,0,,0,0
2.2071E+11,1500000US220710099005,1990,879,753,93,0,27,,25,6
2.2071E+11,1500000US220710088004,1990,499,271,228,0,0,,24,0
2.2071E+11,1500000US220710116003,1990,525,521,4,0,0,,6,0
2.2071E+11,1500000US220710081024,1990,373,13,360,0,0,,0,0
2.2071E+11,1500000US220710115002,1990,623,528,95,0,0,,30,0
2.2071E+11,1500000US220710107001,1990,255,255,0,0,0,,0,0
2.2071E+11,1500000US220710107004,1990,441,319,122,0,0,,11,0
2.2071E+11,1500000US220710088002,1990,397,55,342,0,0,,0,0
2.2071E+11,1500000US220710099002,1990,585,501,76,0,0,,23,8
2.2071E+11,1500000US220710006132,1990,1214,308,836,0,0,,93,70
2.2071E+11,1500000US220710089001,1990,336,88,228,0,0,,30,20
2.2071E+11,1500000US220710099004,1990,512,360,152,0,0,,25,0
2.2071E+11,1500000US220710117002,1990,375,375,0,0,0,,0,0
2.2071E+11,1500000US220710090003,1990,775,725,50,0,0,,16,0
2.2071E+11,1500000US220710006111,1990,2071,43,2022,0,0,,13,6
2.2071E+11,1500000US220710109003,1990,654,590,37,0,21,,28,6
2.2071E+11,1500000US220710109004,1990,420,420,0,0,0,,0,0
2.2071E+11,1500000US220710083003,1990,698,128,551,0,0,,45,19
2.2071E+11,1500000US220710099001,1990,240,202,38,0,0,,0,0
2.2071E+11,1500000US220710108003,1990,472,451,0,21,0,,0,0
2.2071E+11,1500000US220710115001,1990,499,476,0,12,5,,12,6
2.2071E+11,1500000US220710088001,1990,506,323,176,0,0,,74,7
2.2071E+11,1500000US220710081022,1990,357,0,357,0,0,,0,0
2.2071E+11,1500000US220710108001,1990,349,349,0,0,0,,0,0
