Id,Year,Estimate; Total:,Estimate; Total: - White alone,Estimate; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Hispanic,Estimate; Total: - Some Other Race alone,Estimate; Total: - Two or More Races:
1500000US220710017201,2010,585,14,552,0,0,0,19,8,11
1500000US220710017202,2010,605,11,587,3,0,0,2,0,4
1500000US220710017203,2010,1279,16,1240,6,0,0,15,7,10
1500000US220710017204,2010,941,43,873,1,1,0,51,19,4
1500000US220710017221,2010,480,8,461,0,0,0,15,8,3
1500000US220710017222,2010,508,32,454,1,0,0,30,13,8
1500000US220710017223,2010,1121,3,1103,3,0,0,14,3,9
1500000US220710017224,2010,403,0,381,0,0,0,25,12,10
1500000US220710017225,2010,946,0,926,2,2,1,11,7,8
1500000US220710017226,2010,290,4,281,0,0,0,2,0,5
1500000US220710017227,2010,203,1,202,0,0,0,1,0,0
1500000US220710017231,2010,818,20,749,9,28,0,17,2,10
1500000US220710017232,2010,1628,65,1505,3,39,0,16,1,15
1500000US220710017233,2010,780,21,747,0,0,0,15,6,6
1500000US220710017234,2010,987,40,920,3,0,0,18,9,15
1500000US220710017241,2010,800,98,686,0,2,0,19,9,5
1500000US220710017242,2010,918,67,823,2,0,0,17,12,14
1500000US220710017243,2010,1437,13,1385,3,0,0,39,19,17
1500000US220710017244,2010,1058,35,1000,1,1,0,26,10,11
1500000US220710017251,2010,1620,101,1460,0,13,0,49,24,22
1500000US220710017252,2010,1245,79,1116,1,0,0,49,23,26
1500000US220710017253,2010,1517,16,1469,1,9,0,19,9,13
1500000US220710017254,2010,1519,84,1404,1,10,0,20,11,9
1500000US220710017301,2010,832,28,729,1,46,0,14,5,23
1500000US220710017341,2010,892,774,61,2,44,0,27,8,3
1500000US220710017351,2010,1245,11,1205,0,3,4,22,2,20
1500000US220710017352,2010,1016,8,982,2,0,0,31,10,14
1500000US220710017361,2010,524,4,509,0,0,0,6,5,6
1500000US220710017362,2010,1230,15,1179,3,5,0,36,18,10
1500000US220710017371,2010,1052,15,1003,3,1,0,27,14,16
1500000US220710017372,2010,803,59,722,1,1,0,15,12,8
1500000US220710017373,2010,608,71,503,0,2,0,16,24,8
1500000US220710017391,2010,1035,12,980,3,10,0,16,6,24
1500000US220710017392,2010,404,4,386,0,4,0,3,6,4
1500000US220710017401,2010,1042,1,998,3,26,0,16,5,9
1500000US220710017402,2010,1626,32,1502,6,14,0,97,42,30
1500000US220710017403,2010,1462,20,1339,3,49,0,44,23,28
1500000US220710017411,2010,1376,31,859,1,445,0,38,33,7
1500000US220710017431,2010,1249,50,1164,1,2,1,21,15,16
1500000US220710017432,2010,757,70,644,0,2,2,55,19,20
1500000US220710017441,2010,1355,12,1293,2,35,0,11,4,9
1500000US220710017442,2010,1495,16,1470,1,6,0,15,0,2
1500000US220710017443,2010,1116,14,1077,3,5,0,17,1,16
1500000US220710017451,2010,2005,84,1855,2,15,0,26,24,25
1500000US220710017452,2010,1279,18,1217,3,20,7,29,10,4
1500000US220710017461,2010,1130,14,1088,4,5,0,25,0,19
1500000US220710017462,2010,1488,11,1445,1,5,0,23,8,18
1500000US220710017463,2010,1678,90,1536,4,1,1,44,22,24
1500000US220710017471,2010,2022,36,1413,4,544,0,23,4,21
1500000US220710017472,2010,1488,58,1269,3,131,0,19,13,14
1500000US220710017481,2010,940,43,725,0,147,0,20,5,20
1500000US220710017482,2010,1039,40,957,2,30,0,15,6,4
1500000US220710017483,2010,1122,72,1004,1,18,5,21,9,13
1500000US220710017484,2010,672,24,584,0,54,0,16,1,9
1500000US220710017491,2010,1301,15,557,1,694,0,45,14,20
1500000US220710017492,2010,1210,81,296,3,609,0,288,184,37
1500000US220710017501,2010,1098,19,350,5,690,0,14,9,25
1500000US220710017502,2010,932,86,573,3,186,0,167,61,23
1500000US220710017503,2010,1259,60,162,3,919,2,146,92,21
1500000US220710017511,2010,836,163,515,2,37,3,183,93,23
1500000US220710018001,2010,736,584,88,4,10,0,64,17,33
1500000US220710018002,2010,645,560,36,6,10,0,37,12,21
1500000US220710019001,2010,562,90,442,6,5,0,17,8,11
1500000US220710019002,2010,528,132,369,4,0,0,45,14,9
1500000US220710019003,2010,496,101,350,7,5,0,48,19,14
1500000US220710020001,2010,486,24,443,4,2,0,16,2,11
1500000US220710020002,2010,426,36,380,2,0,0,9,2,6
1500000US220710020003,2010,405,26,358,0,0,0,25,13,8
1500000US220710021001,2010,404,9,392,0,0,0,4,0,3
1500000US220710021002,2010,452,13,433,0,0,0,10,2,4
1500000US220710022001,2010,384,18,361,0,0,0,7,0,5
1500000US220710022002,2010,385,16,346,5,0,0,14,16,2
1500000US220710022003,2010,289,2,283,2,0,0,0,0,2
1500000US220710023001,2010,237,7,219,1,1,0,6,4,5
1500000US220710023002,2010,220,10,199,1,0,0,2,2,8
1500000US220710023003,2010,198,1,191,0,0,0,6,6,0
1500000US220710023004,2010,227,2,225,0,0,0,3,0,0
1500000US220710023005,2010,933,73,817,2,5,2,38,12,22
1500000US220710024011,2010,959,119,796,6,12,0,38,2,24
1500000US220710024012,2010,656,76,566,1,0,0,24,6,7
1500000US220710024021,2010,481,69,385,5,0,0,25,6,16
1500000US220710024022,2010,842,66,758,1,2,0,27,2,13
1500000US220710024023,2010,678,24,623,6,1,0,20,19,5
1500000US220710024024,2010,848,90,715,6,5,1,34,16,15
1500000US220710025011,2010,463,79,347,1,8,0,32,13,15
1500000US220710025012,2010,374,40,304,4,8,0,19,11,7
1500000US220710025013,2010,363,28,324,3,1,0,21,4,3
1500000US220710025014,2010,373,42,308,1,2,0,13,14,6
1500000US220710025021,2010,596,3,574,2,5,0,9,6,6
1500000US220710025022,2010,523,31,477,0,1,0,8,7,7
1500000US220710025023,2010,383,14,360,0,0,0,14,4,5
1500000US220710025024,2010,330,20,290,0,0,0,16,10,10
1500000US220710025031,2010,397,59,315,0,1,1,21,12,9
1500000US220710025032,2010,635,144,458,1,4,0,25,8,20
1500000US220710025033,2010,552,228,295,1,2,0,14,12,14
1500000US220710025041,2010,449,58,370,1,1,0,23,17,2
1500000US220710025042,2010,652,177,439,5,1,0,26,9,21
1500000US220710025043,2010,549,215,304,0,0,0,27,10,20
1500000US220710025044,2010,512,62,423,0,4,8,11,3,12
1500000US220710026001,2010,795,569,163,8,16,0,40,22,17
1500000US220710026002,2010,797,632,103,8,16,0,61,17,21
1500000US220710027001,2010,506,27,451,1,1,0,37,22,4
1500000US220710027002,2010,497,95,383,0,12,0,13,5,2
1500000US220710027003,2010,472,41,385,0,0,0,53,38,8
1500000US220710028001,2010,388,4,367,3,0,0,6,6,8
1500000US220710028002,2010,698,12,676,0,0,0,7,5,5
1500000US220710028003,2010,340,8,322,0,0,0,7,3,7
1500000US220710029001,2010,497,20,463,1,1,0,13,0,12
1500000US220710029002,2010,336,1,323,3,0,0,5,5,4
1500000US220710029003,2010,323,8,300,0,1,0,15,12,2
1500000US220710030001,2010,541,14,515,0,0,0,11,7,5
1500000US220710030002,2010,559,6,526,1,0,0,13,13,13
1500000US220710031001,2010,363,13,339,1,1,0,14,7,2
1500000US220710031002,2010,721,15,676,1,3,0,14,16,10
1500000US220710033011,2010,747,299,362,3,46,0,70,17,20
1500000US220710033012,2010,412,187,201,0,15,0,26,3,6
1500000US220710033013,2010,421,193,197,0,15,0,44,6,10
1500000US220710033021,2010,433,84,322,1,8,0,22,6,12
1500000US220710033022,2010,1076,27,1006,1,8,0,32,7,27
1500000US220710033023,2010,710,81,589,2,7,0,20,8,23
1500000US220710033024,2010,428,63,348,2,3,0,27,5,7
1500000US220710033031,2010,725,191,415,7,67,0,83,22,23
1500000US220710033032,2010,668,104,454,0,88,0,29,18,4
1500000US220710033033,2010,372,102,222,1,32,0,38,7,8
1500000US220710033041,2010,840,99,706,1,3,0,45,17,14
1500000US220710033042,2010,905,53,816,9,0,1,48,19,7
1500000US220710033071,2010,694,23,635,3,3,0,38,20,10
1500000US220710033072,2010,493,12,470,3,0,0,24,0,8
1500000US220710033081,2010,394,49,330,1,2,0,10,5,7
1500000US220710033082,2010,615,23,564,0,0,0,14,13,15
1500000US220710033083,2010,1221,43,1133,2,9,0,15,13,21
1500000US220710033084,2010,353,2,341,0,0,0,4,1,9
1500000US220710033085,2010,419,2,405,0,1,0,2,8,3
1500000US220710033086,2010,184,16,162,0,1,0,5,3,2
1500000US220710034001,2010,606,111,466,2,1,1,32,11,14
1500000US220710034002,2010,616,182,407,5,3,0,44,13,6
1500000US220710035001,2010,466,9,434,0,0,0,12,14,9
1500000US220710035002,2010,345,13,329,0,0,0,6,3,0
1500000US220710035003,2010,420,72,323,2,5,0,11,4,14
1500000US220710036001,2010,411,19,381,1,0,0,19,7,3
1500000US220710036002,2010,620,58,535,2,2,0,22,10,13
1500000US220710036003,2010,462,74,367,1,0,0,31,16,4
1500000US220710037011,2010,1216,425,746,5,16,0,48,12,12
1500000US220710037012,2010,506,96,392,0,3,0,24,9,6
1500000US220710037021,2010,612,10,596,0,0,0,19,3,3
1500000US220710037022,2010,511,39,434,1,1,0,25,25,11
1500000US220710037023,2010,462,22,421,1,2,0,11,1,15
1500000US220710037024,2010,629,95,509,0,1,1,23,11,12
1500000US220710037025,2010,440,327,82,2,9,0,28,8,12
1500000US220710037026,2010,816,547,193,2,7,0,76,41,26
1500000US220710038001,2010,698,648,30,2,6,2,17,6,4
1500000US220710038002,2010,777,713,27,5,12,0,28,8,12
1500000US220710039001,2010,605,228,341,4,2,0,57,12,18
1500000US220710039002,2010,590,266,277,2,2,2,46,29,12
1500000US220710040001,2010,1069,197,822,4,2,0,48,30,14
1500000US220710040002,2010,791,55,701,1,5,0,34,19,10
1500000US220710041001,2010,864,579,233,2,10,0,36,17,23
1500000US220710041002,2010,561,481,52,1,9,0,29,10,8
1500000US220710044011,2010,350,21,307,2,5,0,21,13,2
1500000US220710044012,2010,357,10,339,1,0,0,3,1,6
1500000US220710044013,2010,393,37,342,1,0,0,17,7,6
1500000US220710044021,2010,0,0,0,0,0,0,0,0,0
1500000US220710044022,2010,0,0,0,0,0,0,0,0,0
1500000US220710045001,2010,423,37,366,0,0,0,32,16,4
1500000US220710045002,2010,824,105,696,1,2,0,37,5,15
1500000US220710045003,2010,857,371,414,1,11,0,88,31,29
1500000US220710046001,2010,625,561,49,0,3,2,16,2,8
1500000US220710046002,2010,1447,1244,102,2,26,1,106,21,51
1500000US220710046003,2010,632,543,63,2,3,0,43,14,7
1500000US220710048001,2010,1238,3,1202,5,0,0,18,0,28
1500000US220710049001,2010,486,71,360,2,5,0,89,39,9
1500000US220710049002,2010,634,91,504,4,0,0,100,28,7
1500000US220710049003,2010,334,66,228,0,3,0,58,34,3
1500000US220710049004,2010,357,77,241,1,2,0,75,31,5
1500000US220710050001,2010,548,324,166,1,11,0,119,32,14
1500000US220710050002,2010,699,171,385,0,6,0,253,126,11
1500000US220710054001,2010,514,408,76,1,1,0,48,15,13
1500000US220710054002,2010,517,369,100,1,4,0,64,36,7
1500000US220710054003,2010,878,545,274,3,15,0,59,20,21
1500000US220710055001,2010,863,785,37,0,7,0,53,17,17
1500000US220710055002,2010,788,670,62,3,7,0,70,29,17
1500000US220710055003,2010,647,571,25,2,6,2,50,37,4
1500000US220710056011,2010,500,480,4,1,5,0,33,4,6
1500000US220710056012,2010,531,491,7,6,3,0,38,16,8
1500000US220710056013,2010,348,308,32,1,6,0,23,1,0
1500000US220710056014,2010,440,410,12,0,12,0,33,1,5
1500000US220710056021,2010,495,440,23,0,9,0,39,18,5
1500000US220710056022,2010,608,583,11,0,2,0,16,1,11
1500000US220710056023,2010,603,562,25,2,8,0,25,1,5
1500000US220710056024,2010,363,344,10,0,8,0,16,0,1
1500000US220710056031,2010,527,507,11,1,4,0,28,1,3
1500000US220710056032,2010,388,363,15,1,3,0,20,2,4
1500000US220710056033,2010,340,288,28,2,7,0,29,14,1
1500000US220710056041,2010,364,340,10,0,11,0,23,2,1
1500000US220710056042,2010,525,504,9,1,3,1,17,2,5
1500000US220710056043,2010,362,314,24,0,1,0,43,9,14
1500000US220710060001,2010,1838,332,1312,7,124,4,101,31,28
1500000US220710063001,2010,646,221,293,0,2,0,239,116,14
1500000US220710063002,2010,555,132,352,1,6,0,127,52,12
1500000US220710063003,2010,560,118,367,1,1,1,143,58,14
1500000US220710064001,2010,548,358,134,2,5,0,114,32,17
1500000US220710064002,2010,695,266,300,2,10,0,158,92,25
