Id,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Hispanic,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
1500000US220710006133,"Block Group 3, Census Tract 6.13, Orleans Parish, Louisiana",2265,559,410,129,1846,491,0,12,9,13,0,12,26,0,12,0,12,0,12,0,12
1500000US220710006151,"Block Group 1, Census Tract 6.15, Orleans Parish, Louisiana",2071,419,641,248,1310,392,6,11,114,174,0,12,31,0,12,0,12,0,12,0,12
1500000US220710006152,"Block Group 2, Census Tract 6.15, Orleans Parish, Louisiana",1722,336,382,178,1315,319,0,12,16,25,0,12,11,0,12,9,14,0,12,9,14
1500000US220710006161,"Block Group 1, Census Tract 6.16, Orleans Parish, Louisiana",1029,319,297,171,732,271,0,12,0,12,0,12,51,0,12,0,12,0,12,0,12
1500000US220710006162,"Block Group 2, Census Tract 6.16, Orleans Parish, Louisiana",1541,504,215,114,1297,490,0,12,29,40,0,12,0,0,12,0,12,0,12,0,12
1500000US220710006163,"Block Group 3, Census Tract 6.16, Orleans Parish, Louisiana",1915,502,1107,282,774,460,0,12,0,12,0,12,31,9,15,25,28,11,18,14,22
1500000US220710006171,"Block Group 1, Census Tract 6.17, Orleans Parish, Louisiana",1114,311,169,111,870,326,0,12,0,12,0,12,75,75,121,0,12,0,12,0,12
1500000US220710006172,"Block Group 2, Census Tract 6.17, Orleans Parish, Louisiana",2773,508,341,253,2384,507,18,28,30,47,0,12,0,0,12,0,12,0,12,0,12
1500000US220710006181,"Block Group 1, Census Tract 6.18, Orleans Parish, Louisiana",1614,286,909,229,567,245,0,12,138,95,0,12,104,0,12,0,12,0,12,0,12
1500000US220710006182,"Block Group 2, Census Tract 6.18, Orleans Parish, Louisiana",2176,349,557,174,1430,324,37,39,5,12,0,12,0,65,91,82,82,16,29,66,77
1500000US220710007011,"Block Group 1, Census Tract 7.01, Orleans Parish, Louisiana",46,55,0,12,46,55,0,12,0,12,0,12,0,0,12,0,12,0,12,0,12
1500000US220710007012,"Block Group 2, Census Tract 7.01, Orleans Parish, Louisiana",132,78,0,12,132,78,0,12,0,12,0,12,0,0,12,0,12,0,12,0,12
1500000US220710007013,"Block Group 3, Census Tract 7.01, Orleans Parish, Louisiana",143,62,16,21,127,58,0,12,0,12,0,12,0,0,12,0,12,0,12,0,12
1500000US220710007014,"Block Group 4, Census Tract 7.01, Orleans Parish, Louisiana",206,98,0,12,206,98,0,12,0,12,0,12,0,0,12,0,12,0,12,0,12
1500000US220710007021,"Block Group 1, Census Tract 7.02, Orleans Parish, Louisiana",560,289,7,12,553,290,0,12,0,12,0,12,0,0,12,0,12,0,12,0,12
1500000US220710007022,"Block Group 2, Census Tract 7.02, Orleans Parish, Louisiana",491,247,43,67,444,251,4,7,0,12,0,12,0,0,12,0,12,0,12,0,12
1500000US220710007023,"Block Group 3, Census Tract 7.02, Orleans Parish, Louisiana",248,263,31,26,217,262,0,12,0,12,0,12,0,0,12,0,12,0,12,0,12
1500000US220710007024,"Block Group 4, Census Tract 7.02, Orleans Parish, Louisiana",345,195,31,30,308,196,0,12,0,12,0,12,0,0,12,6,10,0,12,6,10
1500000US220710008001,"Block Group 1, Census Tract 8, Orleans Parish, Louisiana",315,178,6,15,309,175,0,12,0,12,0,12,0,0,12,0,12,0,12,0,12
1500000US220710008002,"Block Group 2, Census Tract 8, Orleans Parish, Louisiana",476,197,10,12,459,197,7,10,0,12,0,12,0,0,12,0,12,0,12,0,12
1500000US220710008003,"Block Group 3, Census Tract 8, Orleans Parish, Louisiana",410,142,33,28,347,134,0,12,0,12,0,12,0,0,12,30,39,0,12,30,39
1500000US220710009011,"Block Group 1, Census Tract 9.01, Orleans Parish, Louisiana",207,104,0,12,207,104,0,12,0,12,0,12,0,0,12,0,12,0,12,0,12
1500000US220710009012,"Block Group 2, Census Tract 9.01, Orleans Parish, Louisiana",187,138,0,12,187,138,0,12,0,12,0,12,0,0,12,0,12,0,12,0,12
1500000US220710009013,"Block Group 3, Census Tract 9.01, Orleans Parish, Louisiana",37,47,0,12,37,47,0,12,0,12,0,12,0,0,12,0,12,0,12,0,12
1500000US220710009014,"Block Group 4, Census Tract 9.01, Orleans Parish, Louisiana",216,132,0,12,216,132,0,12,0,12,0,12,0,0,12,0,12,0,12,0,12
1500000US220710009021,"Block Group 1, Census Tract 9.02, Orleans Parish, Louisiana",29,37,0,12,29,37,0,12,0,12,0,12,0,0,12,0,12,0,12,0,12
1500000US220710009022,"Block Group 2, Census Tract 9.02, Orleans Parish, Louisiana",115,116,2,5,113,115,0,12,0,12,0,12,0,0,12,0,12,0,12,0,12
1500000US220710009023,"Block Group 3, Census Tract 9.02, Orleans Parish, Louisiana",181,181,0,12,181,181,0,12,0,12,0,12,0,0,12,0,12,0,12,0,12
1500000US220710009024,"Block Group 4, Census Tract 9.02, Orleans Parish, Louisiana",103,95,0,12,103,95,0,12,0,12,0,12,0,0,12,0,12,0,12,0,12
1500000US220710009031,"Block Group 1, Census Tract 9.03, Orleans Parish, Louisiana",85,54,0,12,85,54,0,12,0,12,0,12,0,0,12,0,12,0,12,0,12
1500000US220710009032,"Block Group 2, Census Tract 9.03, Orleans Parish, Louisiana",124,60,0,12,124,60,0,12,0,12,0,12,0,0,12,0,12,0,12,0,12
1500000US220710009033,"Block Group 3, Census Tract 9.03, Orleans Parish, Louisiana",55,54,0,12,55,54,0,12,0,12,0,12,0,0,12,0,12,0,12,0,12
1500000US220710009034,"Block Group 4, Census Tract 9.03, Orleans Parish, Louisiana",56,48,0,12,56,48,0,12,0,12,0,12,0,0,12,0,12,0,12,0,12
1500000US220710009041,"Block Group 1, Census Tract 9.04, Orleans Parish, Louisiana",403,113,12,15,343,100,0,12,16,21,0,12,19,19,29,13,18,0,12,13,18
1500000US220710009042,"Block Group 2, Census Tract 9.04, Orleans Parish, Louisiana",383,141,0,12,383,141,0,12,0,12,0,12,0,0,12,0,12,0,12,0,12
1500000US220710011001,"Block Group 1, Census Tract 11, Orleans Parish, Louisiana",618,201,84,62,515,192,0,12,0,12,0,12,19,19,32,0,12,0,12,0,12
1500000US220710011002,"Block Group 2, Census Tract 11, Orleans Parish, Louisiana",1082,173,898,164,108,74,7,11,5,8,0,12,27,27,33,37,33,0,12,37,33
1500000US220710011003,"Block Group 3, Census Tract 11, Orleans Parish, Louisiana",0,12,0,12,0,12,0,12,0,12,0,12,0,0,12,0,12,0,12,0,12
1500000US220710012001,"Block Group 1, Census Tract 12, Orleans Parish, Louisiana",481,123,405,99,45,35,0,12,0,12,0,12,15,0,12,31,36,0,12,31,36
1500000US220710012002,"Block Group 2, Census Tract 12, Orleans Parish, Louisiana",543,155,406,120,112,89,0,12,0,12,0,12,5,0,12,25,29,0,12,25,29
1500000US220710012003,"Block Group 3, Census Tract 12, Orleans Parish, Louisiana",530,177,443,156,53,54,0,12,0,12,0,12,6,0,12,34,27,0,12,34,27
1500000US220710013011,"Block Group 1, Census Tract 13.01, Orleans Parish, Louisiana",618,169,56,55,558,156,0,12,0,12,0,12,0,0,12,4,7,0,12,4,7
1500000US220710013012,"Block Group 2, Census Tract 13.01, Orleans Parish, Louisiana",425,133,203,78,211,130,8,12,3,6,0,12,0,0,12,0,12,0,12,0,12
1500000US220710013013,"Block Group 3, Census Tract 13.01, Orleans Parish, Louisiana",305,94,75,46,226,95,0,12,0,12,0,12,0,0,12,4,16,0,12,4,16
1500000US220710013014,"Block Group 4, Census Tract 13.01, Orleans Parish, Louisiana",306,157,0,12,306,157,0,12,0,12,0,12,0,0,12,0,12,0,12,0,12
1500000US220710013021,"Block Group 1, Census Tract 13.02, Orleans Parish, Louisiana",459,172,5,8,454,172,0,12,0,12,0,12,5,0,12,0,12,0,12,0,12
