Id,Year,Total,White,Black or African American,American Indian or Alaskan Native,Asian,Native Hawaiian and Other Pacific Islander,Hispanic,Some other race,Two or more races
1500000US220710017203,2014,1084,0,1084,0,0,0,0,0,0
1500000US220710017204,2014,1012,15,985,0,12,0,0,0,0
1500000US220710017221,2014,382,0,382,0,0,0,23,0,0
1500000US220710017222,2014,751,0,711,0,0,14,0,0,26
1500000US220710017223,2014,1057,0,1034,0,0,0,0,23,0
1500000US220710017224,2014,434,0,315,0,0,0,138,119,0
1500000US220710017225,2014,1012,62,937,0,0,0,0,7,6
1500000US220710017226,2014,245,0,245,0,0,0,25,0,0
1500000US220710017227,2014,329,0,329,0,0,0,0,0,0
1500000US220710017231,2014,863,25,656,0,66,0,0,0,116
1500000US220710017232,2014,1654,57,1560,0,4,0,0,15,18
1500000US220710017233,2014,902,40,862,0,0,0,0,0,0
1500000US220710017234,2014,1651,167,1484,0,0,0,0,0,0
1500000US220710017241,2014,700,147,509,0,44,0,6,0,0
1500000US220710017242,2014,1083,69,936,0,61,0,0,0,17
1500000US220710017243,2014,1440,14,1299,0,88,0,47,0,39
1500000US220710017244,2014,1396,73,1263,0,0,0,60,60,0
1500000US220710017251,2014,1846,38,1552,0,0,0,211,194,62
1500000US220710017252,2014,1858,81,1777,0,0,0,37,0,0
1500000US220710017253,2014,1658,6,1651,0,0,0,0,1,0
1500000US220710017254,2014,1586,43,1543,0,0,0,13,0,0
1500000US220710017301,2014,902,33,855,0,2,0,11,0,12
1500000US220710017341,2014,835,715,0,0,81,0,11,8,31
1500000US220710017351,2014,1149,4,1131,0,0,0,28,0,14
1500000US220710017352,2014,820,59,761,0,0,0,19,0,0
1500000US220710017361,2014,684,0,675,0,0,0,9,9,0
1500000US220710017362,2014,1388,83,1292,0,13,0,59,0,0
1500000US220710017371,2014,1612,6,1595,0,5,0,17,6,0
1500000US220710017372,2014,904,53,851,0,0,0,0,0,0
1500000US220710017373,2014,645,100,528,11,0,0,0,0,6
1500000US220710017391,2014,1134,19,1115,0,0,0,0,0,0
1500000US220710017392,2014,574,0,574,0,0,0,0,0,0
1500000US220710017401,2014,1436,9,1299,0,0,0,0,95,33
1500000US220710017402,2014,1519,0,1450,0,18,0,18,33,18
1500000US220710017403,2014,1671,62,1495,0,0,0,38,0,114
1500000US220710017411,2014,1611,73,930,0,600,0,0,0,8
1500000US220710017431,2014,1562,28,1534,0,0,0,0,0,0
1500000US220710017432,2014,815,6,790,0,0,0,0,19,0
1500000US220710017441,2014,1098,0,1039,0,0,0,0,0,59
1500000US220710017442,2014,1971,0,1971,0,0,0,0,0,0
1500000US220710017443,2014,1142,58,1084,0,0,0,41,0,0
1500000US220710017451,2014,2249,133,1932,0,0,0,129,157,27
1500000US220710017452,2014,1145,11,1117,0,2,0,12,0,15
1500000US220710017461,2014,1149,39,1100,0,0,0,0,0,10
1500000US220710017462,2014,1665,9,1648,0,0,0,20,0,8
1500000US220710017463,2014,1651,11,1640,0,0,0,0,0,0
1500000US220710017471,2014,2668,0,1874,0,687,0,0,96,11
1500000US220710017472,2014,1170,29,1068,0,61,0,31,12,0
1500000US220710017481,2014,1285,18,1060,0,207,0,0,0,0
1500000US220710017482,2014,1383,0,1182,0,201,0,0,0,0
1500000US220710017483,2014,1330,58,1269,0,0,0,80,3,0
1500000US220710017484,2014,894,35,754,0,105,0,0,0,0
1500000US220710017491,2014,1189,9,594,0,575,0,19,11,0
1500000US220710017492,2014,1785,158,382,15,1001,0,389,199,30
1500000US220710017501,2014,1225,14,210,0,894,0,107,107,0
1500000US220710017502,2014,693,116,385,0,100,0,200,43,49
1500000US220710017503,2014,1523,345,252,254,630,0,639,22,20
1500000US220710017511,2014,802,217,512,6,1,0,145,66,0
1500000US220710018001,2014,922,737,77,0,18,0,93,79,11
