receivingfacilityzipcode,zippedTract,stateID,zipPov,statePov,ntlPov,datasetZipPov,datasetStatePov,zipRace,stateRace,ntlRace,datasetZipRace,datasetStateRace,receivingFacilityAddress,addressZip,zippedTract,addressedTract,povTractFinal,datasetTractPov,raceTractFinal,datasetTractRace
72015,5125010600,5,12.4,20.8,15.8,17.77,16.48,14,25.5,30.71,37.77,32.1,null,null,null,null,null,null,null,null
85034,4013117200,4,52.3,17.2,15.8,17.77,16.48,88.5,42.26,30.71,37.77,32.1,null,null,null,null,null,null,null,null
44637,39075976600,39,23.3,16.2,15.8,17.77,16.48,0.54,18.9,30.71,37.77,32.1,null,null,null,null,null,null,null,null
77640,48245980000,48,26.5,19.2,15.8,17.77,16.48,73.8,54.72,30.71,37.77,32.1,null,null,null,null,null,null,null,null
44137,39035171206,39,16.6,16.2,15.8,17.77,16.48,70.26,18.9,30.71,37.77,32.1,null,null,null,null,null,null,null,null
7036,34039036100,34,8.4,10.1,15.8,17.77,16.48,53.81,40.77,30.71,37.77,32.1,null,null,null,null,null,null,null,null
44139,39035195800,39,4.6,16.2,15.8,17.77,16.48,25.38,18.9,30.71,37.77,32.1,null,null,null,null,null,null,null,null
98421,53053940002,53,0,17.3,15.8,17.77,16.48,64.29,27.5,30.71,37.77,32.1,null,null,null,null,null,null,null,null
44207,39153533502,39,15.6,16.2,15.8,17.77,16.48,7.42,18.9,30.71,37.77,32.1,null,null,null,null,null,null,null,null
60426,17031828300,17,33.1,14,15.8,17.77,16.48,95.22,36.45,30.71,37.77,32.1,null,null,null,null,null,null,null,null
46220,18097330401,18,9.1,14.4,15.8,17.77,16.48,20.83,18.52,30.71,37.77,32.1,null,null,null,null,null,null,null,null
45979,39161020300,39,9,16.2,15.8,17.77,16.48,2.78,18.9,30.71,37.77,32.1,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,3277 COUNTY ROAD 69,78380,48355006000,48355006000,8.6,17.53,74.01,37.23
null,null,null,null,null,null,null,null,null,null,null,null,null,35251 OLD SKILINE ROAD,93239,6031001701,0,39.1,17.53,92.31,37.23
null,null,null,null,null,null,null,null,null,null,null,null,null,2027 BATTLEGROUND ROAD,77571,48201343700,48201342800,1.5,17.53,26.25,37.23
null,null,null,null,null,null,null,null,null,null,null,null,null,302 MIDWAY ROAD,77541,48039664501,0,15.3,17.53,33.74,37.23
null,null,null,null,null,null,null,null,null,null,null,null,null,100 AMERICAN BLVD.,70508,22055980000,22055001411,14.5,17.53,15.82,37.23
null,null,null,null,null,null,null,null,null,null,null,null,null,1722 COOPER CREEK ROAD,76208,48121021405,0,14.8,17.53,46.28,37.23
null,null,null,null,null,null,null,null,null,null,null,null,null,720 S SEVENTH AVE,91476,6037980024,6037408202,18,17.53,80.47,37.23
null,null,null,null,null,null,null,null,null,null,null,null,null,8113 WEST SHERMAN STREET,85353,4013112510,4013112510,14.1,17.53,80.86,37.23
null,null,null,null,null,null,null,null,null,null,null,null,null,1420 CEMENT ROAD,66736,20205097300,0,15.2,17.53,6.42,37.23
null,null,null,null,null,null,null,null,null,null,null,null,null,200 NEVILLE ROAD,15225,42003461000,42003461000,18,17.53,3.56,37.23
null,null,null,null,null,null,null,null,null,null,null,null,null,11800 NORTH APTUS ROAD,84029,49045130800,0,9.8,17.53,5.6,37.23
null,null,null,null,null,null,null,null,null,null,null,null,null,1 INMETCO DR,16117,42073011800,42073011700,10.5,17.53,3.03,37.23
null,null,null,null,null,null,null,null,null,null,null,null,null,11397 ROAD 176,45879,39125960500,0,15.2,17.53,1.85,37.23
null,null,null,null,null,null,null,null,null,null,null,null,null,1720 NORTH ELSTON AVENUE,60622,17031842300,0,16.1,17.53,38.37,37.23
null,null,null,null,null,null,null,null,null,null,null,null,null,6520 GEORGIA ST,48211,26163985900,26163511000,35.2,17.53,90.9,37.23
null,null,null,null,null,null,null,null,null,null,null,null,null,309 AMERICAN DRIVE,71730,5139951000,5139951000,30.3,17.53,74.87,37.23
null,null,null,null,null,null,null,null,null,null,null,null,null,208 WALTINGTON INDUSTRIAL DRIVE,72320,5077470100,0,16.3,17.53,47.18,37.23
null,null,null,null,null,null,null,null,null,null,null,null,null,11800 SOUTH STONY ISLAND AVE,60617,17031838800,17031838800,41,17.53,95.55,37.23
null,null,null,null,null,null,null,null,null,null,null,null,null,17629 CEDAR SPRINGS LANE,97812,41021960100,0,12.6,17.53,9.87,37.23
null,null,null,null,null,null,null,null,null,null,null,null,null,1923 FREDERICK ST,48211,26163985900,26163518400,36.9,17.53,88.47,37.23
null,null,null,null,null,null,null,null,null,null,null,null,null,7800 MEDUSA STREET,44146,39035195700,39035195700,12.3,17.53,67.35,37.23
null,null,null,null,null,null,null,null,null,null,null,null,null,100 STEVEN TAYLOR BOULEVARD,74501,40121486800,0,17.5,17.53,22.02,37.23
null,null,null,null,null,null,null,null,null,null,null,null,null,2247 SOUTH HIGHWAY 71,69145,31105954500,0,10.8,17.53,10.06,37.23
null,null,null,null,null,null,null,null,null,null,null,null,null,2700 AVENUE S,77539,48167723400,0,6.6,17.53,20.71,37.23
null,null,null,null,null,null,null,null,null,null,null,null,null,2050 CENTRAL AVENUE S.E.,44707,39151713201,39151713201,10.8,17.53,8.57,37.23
null,null,null,null,null,null,null,null,null,null,null,null,null,625 WANDA STREET,48220,26125173600,26125173600,14.6,17.53,25.32,37.23
null,null,null,null,null,null,null,null,null,null,null,null,null,21211 DURAND AVENUE,53182,55101980000,55101002100,6.8,17.53,4.87,37.23
null,null,null,null,null,null,null,null,null,null,null,null,null,RT 512+329,18014,42095016600,0,11.1,17.53,11,37.23
null,null,null,null,null,null,null,null,null,null,null,null,null,2430 ROSE PLACE,55113,27123042201,27123041302,9,17.53,13.64,37.23
null,null,null,null,null,null,null,null,null,null,null,null,null,60790 SOUTHGATE RD,43725,39059978000,39059977900,12.1,17.53,6.56,37.23
null,null,null,null,null,null,null,null,null,null,null,null,null,581 MILLIKEN DRIVE SE,43025,39089759100,39089759100,7.6,17.53,5.99,37.23
null,null,null,null,null,null,null,null,null,null,null,null,null,1229 VALLEY DR,35954,1055011002,1055010900,17.1,17.53,8.61,37.23
null,null,null,null,null,null,null,null,null,null,null,null,null,755 INDUSTRIAL ROAD PO BOX 1755,29150,45085002000,45085001100,34.4,17.53,76.8,37.23
null,null,null,null,null,null,null,null,null,null,null,null,null,NO 1 SANDERS RD,36079,1109189300,0,26.3,17.53,55.23,37.23
null,null,null,null,null,null,null,null,null,null,null,null,null,36790 GILES ROAD,44044,39093095100,39093091100,7.6,17.53,7.81,37.23
null,null,null,null,null,null,null,null,null,null,null,null,null,3125 HIGHLAND AVE,14305,36063024406,36063020200,42.3,17.53,91.58,37.23
null,null,null,null,null,null,null,null,null,null,null,null,null,1250 ST GEORGE ST,43920,39029952400,39029952200,31.8,17.53,11.39,37.23
null,null,null,null,null,null,null,null,null,null,null,null,null,500 EAST REYNOLDS ROAD,71923,5059020600,5019953800,26.8,17.53,42.12,37.23
null,null,null,null,null,null,null,null,null,null,null,null,null,1647 WHEATLAND CENTER ROAD,14546,36055014700,36055014700,5.5,17.53,7.99,37.23
null,null,null,null,null,null,null,null,null,null,null,null,null,5743 CHESWOOD,77087,48201333600,48201332700,26.1,17.53,95.43,37.23
null,null,null,null,null,null,null,null,null,null,null,null,null,2900 ROCKEFELLER AVENUE,44115,39035980100,39035980100,N/A,17.53,0,37.23
null,null,null,null,null,null,null,null,null,null,null,null,null,657 GALLAGHER RD,37763,47145030600,0,20.2,17.53,7.34,37.23
null,null,null,null,null,null,null,null,null,null,null,null,null,15524 CARMENITA ROAD,90670,6037552400,6037504102,N/A,17.53,0,37.23
null,null,null,null,null,null,null,null,null,null,null,null,null,1250 ST GEORGE ST UNIT 1,43920,39029952400,0,10.4,17.53,6.64,37.23
null,null,null,null,null,null,null,null,null,null,null,null,null,900 DELAWARE AVE EAST PLANT,18071,42089301302,42025020900,9.2,17.53,9.84,37.23
null,null,null,null,null,null,null,null,null,null,null,null,null,1314 NORTH ANAHEIM BLVD,92801,6059110402,6059086501,20.8,17.53,87.81,37.23
null,null,null,null,null,null,null,null,null,null,null,null,null,4879 SPRING GROVE AVENUE,45232,39061008000,39061007300,29.2,17.53,61.95,37.23
null,null,null,null,null,null,null,null,null,null,null,null,null,10746 INNOVATION ROAD-BLDG 47,55016,27163071400,0,2.5,17.53,18.63,37.23
null,null,null,null,null,null,null,null,null,null,null,null,null,105 BELLOWS STREET,2888,44003021300,44003021002,10.7,17.53,18.79,37.23
null,null,null,null,null,null,null,null,null,null,null,null,null,13429 ALONDRA BLVD,90670,6037552400,6037504102,N/A,17.53,0,37.23
null,null,null,null,null,null,null,null,null,null,null,null,null,1250 ST GEORGE STREET PO BOX 919,43920,39029952400,0,10.4,17.53,6.64,37.23
null,null,null,null,null,null,null,null,null,null,null,null,null,36790 GILES RD,44044,39093095100,39093091100,7.6,17.53,7.81,37.23
null,null,null,null,null,null,null,null,null,null,null,null,null,251 INDUSTRIAL BOULEVARD,27834,37147002002,37147000800,31.4,17.53,79.35,37.23
null,null,null,null,null,null,null,null,null,null,null,null,null,1975 KNOXVILLE HIGHWAY,37887,47129110500,47129110300,14.1,17.53,15.41,37.23
null,null,null,null,null,null,null,null,null,null,null,null,null,13100 BAYPARK ROAD,77507,48201343700,48201343700,22.2,17.53,60.81,37.23
null,null,null,null,null,null,null,null,null,null,null,null,null,1704 W FIRST ST,91702,6037930301,6037404402,6.6,17.53,90.55,37.23
null,null,null,null,null,null,null,null,null,null,null,null,null,8113 WEST SHERMAN ST,85353,4013112510,4013112510,14.1,17.53,80.86,37.23
null,null,null,null,null,null,null,null,null,null,null,null,null,1007 VULCAN RD,72015,5125010600,5125010503,15,17.53,10.97,37.23
null,null,null,null,null,null,null,null,null,null,null,null,null,2113 EAST SKY HARBOR CIRCLE SOUTH,85034,4013117200,4013117200,45.3,17.53,95.97,37.23
null,null,null,null,null,null,null,null,null,null,null,null,null,5533 DUNHAM RD,44637,39075976600,39035171204,24.2,17.53,63.7,37.23
null,null,null,null,null,null,null,null,null,null,null,null,null,"HWY 73, 3.5 MILES WEST OF TAYLOR'S BAYOU",0,#N/A,0,N/A,17.53,N/A,37.23
null,null,null,null,null,null,null,null,null,null,null,null,null,720 S. SEVENTH AV. ,91476,6037980024,6037408202,18,17.53,80.47,37.23
null,null,null,null,null,null,null,null,null,null,null,null,null,657 GALLAHER ROAD,37763,47145030600,47145030201,8.5,17.53,3.97,37.23
null,null,null,null,null,null,null,null,null,null,null,null,null,1200 SYLVAN STREET,7036,34039036100,34039035400,8.2,17.53,39.88,37.23
null,null,null,null,null,null,null,null,null,null,null,null,null,RR#2 11397 COUNTRY RD. 176,45879,39125960500,0,15.2,17.53,1.85,37.23
null,null,null,null,null,null,null,null,null,null,null,null,null,1825 ALEXANDER AVE,98421,53053940002,0,16.1,17.53,28.39,37.23
null,null,null,null,null,null,null,null,null,null,null,null,null,1 INMETCO DRIVE,16117,42073011800,42073011700,10.5,17.53,3.03,37.23
null,null,null,null,null,null,null,null,null,null,null,null,null,1420 SOUTH CEMENT ROAD,66736,20205097300,0,15.2,17.53,6.42,37.23
null,null,null,null,null,null,null,null,null,null,null,null,null,21211 DURAND AVE,53182,55101980000,55101002100,6.8,17.53,4.87,37.23
null,null,null,null,null,null,null,null,null,null,null,null,null,16435 CENTER AVE,60426,17031828300,17031827500,32.2,17.53,92.19,37.23
null,null,null,null,null,null,null,null,null,null,null,null,null,245 PORTERVILLE ROAD,16117,42073011800,42073117000,19,17.53,5.19,37.23
null,null,null,null,null,null,null,null,null,null,null,null,null,35251 OLD SKYLINE RD,93239,6031001701,0,39.1,17.53,92.31,37.23
null,null,null,null,null,null,null,null,null,null,null,null,null,1704 W 1ST ST,91702,6037930301,6037404402,6.6,17.53,90.55,37.23
