coastal_exposure_s2,coastal_exposure_no_habitats_s2,habitat_role_s2,coastal_exposure_s1,coastal_exposure_no_habitats_s1,habitat_role_s1,s1_habitat_role_percent,exposure_diff_percent,latitude,longitude
2.85364,2.85364,0,2.85364,2.85364,0,0,0,49.395411,-126.249648
3.05315,3.05315,0,3.05315,3.05315,0,0,0,49.396565,-126.208369
2.85364,2.85364,0,2.85364,2.85364,0,0,0,49.396947,-126.194609
2.85364,2.85364,0,2.85364,2.85364,0,0,0,49.397326,-126.180848
2.5423,2.5423,0,2.5423,2.5423,0,0,0,49.397705,-126.167087
2.37618,2.37618,0,2.37618,2.37618,0,0,0,49.403532,-125.946876
2.11693,2.11693,0,2.11693,2.11693,0,0,0,49.403882,-125.933111
2.11693,2.11693,0,2.11693,2.11693,0,0,0,49.404231,-125.919345
3.2031,3.22497,0.0218673,3.11367,3.22497,0.111296,3.451070863,2.791982767,49.377521,-126.551628
3.2031,3.22497,0.0218673,3.11367,3.22497,0.111296,3.451070863,2.791982767,49.377943,-126.537878
3.2031,3.22497,0.0218673,3.11367,3.22497,0.111296,3.451070863,2.791982767,49.378364,-126.524127
3.59536,3.6199,0.024545,3.49498,3.6199,0.124925,3.451062184,2.791931823,49.378783,-126.510377
3.59536,3.6199,0.024545,3.49498,3.6199,0.124925,3.451062184,2.791931823,49.3792,-126.496626
3.49498,3.6199,0.124925,3.47286,3.6199,0.147046,4.062156413,0.632907771,49.379616,-126.482874
3.32447,3.32447,0,3.32447,3.32447,0,0,0,49.383682,-126.345344
3.2031,3.2031,0,3.2031,3.2031,0,0,0,49.386043,-126.262811
2.85364,2.85364,0,2.85364,2.85364,0,0,0,49.386431,-126.249055
2.37618,2.37618,0,2.37618,2.37618,0,0,0,49.388345,-126.180268
2.85364,2.85364,0,2.85364,2.85364,0,0,0,49.390589,-126.097714
2.66717,2.66717,0,2.66717,2.66717,0,0,0,49.390957,-126.083954
2.37618,2.37618,0,2.37618,2.37618,0,0,0,49.394549,-125.946338
3.32447,3.32447,0,3.32447,3.32447,0,0,0,49.375099,-126.330982
3.42704,3.42704,0,3.42704,3.42704,0,0,0,49.377062,-126.262216
2.94778,3.05315,0.105366,2.92912,3.05315,0.124023,4.062132552,0.633018746,49.37745,-126.248462
2.66717,2.66717,0,2.66717,2.66717,0,0,0,49.381607,-126.097148
2.66717,2.66717,0,2.66717,2.66717,0,0,0,49.381975,-126.083391
2.37618,2.37618,0,2.37618,2.37618,0,0,0,49.385566,-125.945801
2.11693,2.11693,0,2.11693,2.11693,0,0,0,49.385916,-125.93204
3.32447,3.32447,0,3.32447,3.32447,0,0,0,49.366515,-126.316624
3.30877,3.42704,0.118269,3.30877,3.42704,0.118269,3.451053971,0,49.367693,-126.275372
2.94778,3.05315,0.105366,2.94778,3.05315,0.105366,3.451058743,0,49.36847,-126.24787
2.66717,2.66717,0,2.66717,2.66717,0,0,0,49.372993,-126.082829
2.04388,2.11693,0.0730567,2.04388,2.11693,0.0730567,3.451068292,0,49.373359,-126.069073
2.37618,2.37618,0,2.37618,2.37618,0,0,0,49.376231,-125.959021
2.37618,2.37618,0,2.37618,2.37618,0,0,0,49.376583,-125.945263
3.55689,3.55689,0,3.55689,3.55689,0,0,0,49.357929,-126.302272
3.30877,3.42704,0.118269,3.28783,3.42704,0.139211,4.062135254,0.632863572,49.358712,-126.274775
2.75516,2.85364,0.0984807,2.75516,2.85364,0.0984807,3.451055494,0,49.359489,-126.247278
2.37618,2.37618,0,2.37618,2.37618,0,0,0,49.364011,-126.082266
2.37618,2.37618,0,2.37618,2.37618,0,0,0,49.367248,-125.958482
2.11693,2.11693,0,2.11693,2.11693,0,0,0,49.3676,-125.944726
3.70629,3.73159,0.0253022,3.60281,3.73159,0.128779,3.451049017,2.792010339,49.349341,-126.287924
2.94778,3.05315,0.105366,2.94778,3.05315,0.105366,3.451058743,0,49.350508,-126.246686
2.37618,2.37618,0,2.37618,2.37618,0,0,0,49.355029,-126.081705
2.37618,2.37618,0,2.37618,2.37618,0,0,0,49.358265,-125.957942
2.11693,2.11693,0,2.11693,2.11693,0,0,0,49.358616,-125.944189
2.18677,2.26493,0.0781641,2.17293,2.26493,0.0920048,4.062147616,0.632896921,49.362706,-125.779136
2.94778,3.05315,0.105366,2.94778,3.05315,0.105366,3.451058743,0,49.341528,-126.246094
2.85364,2.85364,0,2.85364,2.85364,0,0,0,49.346047,-126.081143
2.5423,2.5423,0,2.5423,2.5423,0,0,0,49.348575,-125.984903
2.37618,2.37618,0,2.37618,2.37618,0,0,0,49.348929,-125.971153
2.11693,2.11693,0,2.11693,2.11693,0,0,0,49.349282,-125.957403
3.2031,3.2031,0,3.2031,3.2031,0,0,0,49.33216,-126.259245
2.37618,2.37618,0,2.37618,2.37618,0,0,0,49.337065,-126.080582
2.66717,2.66717,0,2.66717,2.66717,0,0,0,49.337431,-126.066837
2.85364,2.85364,0,2.85364,2.85364,0,0,0,49.339592,-125.984359
2.37618,2.37618,0,2.37618,2.37618,0,0,0,49.339946,-125.970612
2.26493,2.26493,0,2.26493,2.26493,0,0,0,49.344072,-125.805625
3.32447,3.32447,0,3.32447,3.32447,0,0,0,49.323179,-126.258651
2.5423,2.5423,0,2.5423,2.5423,0,0,0,49.328083,-126.080021
2.85364,2.85364,0,2.85364,2.85364,0,0,0,49.328813,-126.052535
2.85364,2.85364,0,2.85364,2.85364,0,0,0,49.330253,-125.99756
2.37618,2.37618,0,2.37618,2.37618,0,0,0,49.331316,-125.956326
2.26493,2.26493,0,2.26493,2.26493,0,0,0,49.335088,-125.805113
3.32447,3.32447,0,3.32447,3.32447,0,0,0,49.314586,-126.244322
2.85364,2.85364,0,2.85364,2.85364,0,0,0,49.319101,-126.07946
3.05315,3.05315,0,3.05315,3.05315,0,0,0,49.320193,-126.038238
3.05315,3.05315,0,3.05315,3.05315,0,0,0,49.320553,-126.024497
3.05315,3.05315,0,3.05315,3.05315,0,0,0,49.320913,-126.010756
2.37618,2.37618,0,2.37618,2.37618,0,0,0,49.322333,-125.955787
2.5423,2.5423,0,2.5423,2.5423,0,0,0,49.325769,-125.818348
2.5423,2.5423,0,2.5423,2.5423,0,0,0,49.326103,-125.804603
3.08616,3.10723,0.0210688,3,3.10723,0.107233,3.451080223,2.791818959,49.30599,-126.229997
2.85364,2.85364,0,2.85364,2.85364,0,0,0,49.310119,-126.0789
3.05315,3.05315,0,3.05315,3.05315,0,0,0,49.310484,-126.065162
2.85364,2.85364,0,2.85364,2.85364,0,0,0,49.31121,-126.037685
2.85364,2.85364,0,2.85364,2.85364,0,0,0,49.311571,-126.023947
2.85364,2.85364,0,2.85364,2.85364,0,0,0,49.31193,-126.010208
2.66717,2.66717,0,2.66717,2.66717,0,0,0,49.312287,-125.996469
2.66717,2.66717,0,2.66717,2.66717,0,0,0,49.312997,-125.968989
2.5423,2.5423,0,2.5423,2.5423,0,0,0,49.316785,-125.817835
2.5423,2.5423,0,2.5423,2.5423,0,0,0,49.317119,-125.804092
3.18138,3.2031,0.0217187,3.09256,3.2031,0.110541,3.451063033,2.791870195,49.296624,-126.243141
