longitude,latitude,stop_id,title,stop_lat,stop_lon,stoplatnum,stoplonnum,rr_name,stop_desc,url
-73.63939667,40.75600052,43,East Williston,40.75601,-73.63941,40.756,-73.6394,Long Island Railroad,,http://www.mta.info/lirr
-73.257742,41.143077,,Fairfield,,,0,0,Metro-North Railroad,138,http://www.mta.info/mnr
-73.75050354,40.60910034,99,Far Rockaway,40.60913,-73.75054,40.6091,-73.7505,Long Island Railroad,,http://www.mta.info/lirr
-73.44120026,40.73590088,69,Farmingdale,40.73591,-73.44124,40.7359,-73.4412,Long Island Railroad,,http://www.mta.info/lirr
-73.97769928,40.68489838,12,Flatbush Avenue,40.684901,-73.97768,40.6849,-73.9777,Long Island Railroad,,http://www.mta.info/lirr
-73.83948,40.92699,,Fleetwood,,,0,0,Metro-North Railroad,64,http://www.mta.info/mnr
-73.70639801,40.72460175,34,Floral Park,40.72463,-73.7064,40.7246,-73.7064,Long Island Railroad,,http://www.mta.info/lirr
-73.83139801,40.75790024,18,Flushing,40.75789,-73.83135,40.7579,-73.8314,Long Island Railroad,,http://www.mta.info/lirr
-73.89058,40.8615,,Fordham,,,0,0,Metro-North Railroad,56,http://www.mta.info/mnr
-73.84480286,40.71960068,10,Forest Hills,40.71957,-73.84481,40.7196,-73.8448,Long Island Railroad,,http://www.mta.info/lirr
-73.58229828,40.65750122,108,Freeport,40.65745,-73.58232,40.6575,-73.5823,Long Island Railroad,,http://www.mta.info/lirr
-73.64040375,40.72309875,37,Garden City,40.72309,-73.64036,40.7231,-73.6404,Long Island Railroad,,http://www.mta.info/lirr
-73.947202,41.38178,,Garrison,,,0,0,Metro-North Railroad,42,http://www.mta.info/mnr
-73.70179749,40.64920044,93,Gibson,40.64924,-73.70183,40.6492,-73.7018,Long Island Railroad,,http://www.mta.info/lirr
-73.61620331,40.86579895,50,Glen Cove,40.86583,-73.61616,40.8658,-73.6162,Long Island Railroad,,http://www.mta.info/lirr
-73.62609863,40.8321991,47,Glen Head,40.83222,-73.62612,40.8322,-73.6261,Long Island Railroad,,http://www.mta.info/lirr
-73.62120056,40.85800171,49,Glen Street,40.85797,-73.62122,40.858,-73.6212,Long Island Railroad,,http://www.mta.info/lirr
