GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
1500000US220710009024,220710009024,"Block Group 4, Census Tract 9.02, Orleans Parish, Louisiana",103,95,0,12,103,95,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US220710009031,220710009031,"Block Group 1, Census Tract 9.03, Orleans Parish, Louisiana",85,54,0,12,85,54,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US220710009032,220710009032,"Block Group 2, Census Tract 9.03, Orleans Parish, Louisiana",124,60,0,12,124,60,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US220710009033,220710009033,"Block Group 3, Census Tract 9.03, Orleans Parish, Louisiana",55,54,0,12,55,54,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US220710009034,220710009034,"Block Group 4, Census Tract 9.03, Orleans Parish, Louisiana",56,48,0,12,56,48,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US220710009041,220710009041,"Block Group 1, Census Tract 9.04, Orleans Parish, Louisiana",403,113,12,15,343,100,0,12,16,21,0,12,19,29,13,18,0,12,13,18
1500000US220710009042,220710009042,"Block Group 2, Census Tract 9.04, Orleans Parish, Louisiana",383,141,0,12,383,141,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US220710011001,220710011001,"Block Group 1, Census Tract 11, Orleans Parish, Louisiana",618,201,84,62,515,192,0,12,0,12,0,12,19,32,0,12,0,12,0,12
1500000US220710011002,220710011002,"Block Group 2, Census Tract 11, Orleans Parish, Louisiana",1082,173,898,164,108,74,7,11,5,8,0,12,27,33,37,33,0,12,37,33
1500000US220710011003,220710011003,"Block Group 3, Census Tract 11, Orleans Parish, Louisiana",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
