GEO.id,GEO.id2,GEO.display-label,VD01,VD02,VD03,VD04,VD05,VD06,VD07,VD08,VD09,VD10,VD11,VD12,VD13,VD14,VD15,VD16,VD17,VD18,VD19,VD20,VD21,VD22,VD23,VD24,VD25,VD26,VD27,VD28,VD29,VD30,VD31,VD32,VD33,VD34,VD35,VD36,VD37,VD38,VD39,VD40,VD41,VD42,VD43,VD44,VD45,VD46,VD47,VD48,VD49,VD50,VD51,VD52,VD53,VD54,VD55,VD56,VD57,VD58,VD59,VD60,VD61,VD62,VD63,VD64,VD65,VD66,VD67,VD68,VD69,VD70,VD71
1500000US220710006011,220710006011,"Block Group 1, Census Tract 6.01, Orleans Parish, Louisiana",1022,1022,4,1018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US220710006012,220710006012,"Block Group 2, Census Tract 6.01, Orleans Parish, Louisiana",1012,1007,6,1000,1,0,0,0,5,4,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US220710006021,220710006021,"Block Group 1, Census Tract 6.02, Orleans Parish, Louisiana",910,887,222,655,0,1,0,9,23,22,3,1,3,0,12,1,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US220710006022,220710006022,"Block Group 2, Census Tract 6.02, Orleans Parish, Louisiana",983,977,95,867,4,6,0,5,6,6,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US220710006023,220710006023,"Block Group 3, Census Tract 6.02, Orleans Parish, Louisiana",1064,1058,130,922,2,1,0,3,6,6,2,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US220710006031,220710006031,"Block Group 1, Census Tract 6.03, Orleans Parish, Louisiana",1325,1308,60,1182,3,12,0,51,17,16,1,0,0,0,7,2,3,1,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US220710006032,220710006032,"Block Group 2, Census Tract 6.03, Orleans Parish, Louisiana",1017,993,43,791,0,94,0,65,24,22,5,0,1,0,9,1,3,0,1,1,0,0,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US220710006041,220710006041,"Block Group 1, Census Tract 6.04, Orleans Parish, Louisiana",1554,1531,278,1212,3,8,1,29,23,23,2,6,0,0,3,0,0,0,7,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US220710006042,220710006042,"Block Group 2, Census Tract 6.04, Orleans Parish, Louisiana",2323,2241,672,1382,13,29,0,145,82,82,10,2,6,0,41,4,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US220710006043,220710006043,"Block Group 3, Census Tract 6.04, Orleans Parish, Louisiana",1254,1235,68,1131,2,17,0,17,19,19,5,0,0,0,9,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US220710006051,220710006051,"Block Group 1, Census Tract 6.05, Orleans Parish, Louisiana",1025,1015,228,781,1,0,0,5,10,10,1,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US220710006052,220710006052,"Block Group 2, Census Tract 6.05, Orleans Parish, Louisiana",629,623,186,427,1,1,1,7,6,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US220710006053,220710006053,"Block Group 3, Census Tract 6.05, Orleans Parish, Louisiana",1248,1215,522,648,1,22,2,20,33,32,11,1,2,0,10,5,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US220710006061,220710006061,"Block Group 1, Census Tract 6.06, Orleans Parish, Louisiana",1422,1396,1060,292,4,18,0,22,26,26,7,1,2,0,6,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US220710006062,220710006062,"Block Group 2, Census Tract 6.06, Orleans Parish, Louisiana",1570,1534,983,486,8,30,0,27,36,33,3,4,4,0,17,4,1,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US220710006063,220710006063,"Block Group 3, Census Tract 6.06, Orleans Parish, Louisiana",1408,1395,755,598,1,34,0,7,13,8,0,2,2,0,4,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US220710006071,220710006071,"Block Group 1, Census Tract 6.07, Orleans Parish, Louisiana",767,760,404,341,0,8,0,7,7,7,0,1,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US220710006072,220710006072,"Block Group 2, Census Tract 6.07, Orleans Parish, Louisiana",1210,1197,1073,83,0,37,0,4,13,12,3,1,2,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US220710006073,220710006073,"Block Group 3, Census Tract 6.07, Orleans Parish, Louisiana",1769,1735,1482,200,7,29,0,17,34,32,9,7,6,0,9,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US220710006081,220710006081,"Block Group 1, Census Tract 6.08, Orleans Parish, Louisiana",1205,1188,524,593,4,54,0,13,17,17,4,2,3,0,4,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US220710006082,220710006082,"Block Group 2, Census Tract 6.08, Orleans Parish, Louisiana",3495,3454,2020,1278,16,106,1,33,41,40,7,7,9,0,12,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US220710006083,220710006083,"Block Group 3, Census Tract 6.08, Orleans Parish, Louisiana",2961,2892,1605,1056,34,116,0,81,69,69,14,8,13,0,15,2,4,0,4,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US220710006111,220710006111,"Block Group 1, Census Tract 6.11, Orleans Parish, Louisiana",1916,1915,27,1862,3,12,0,11,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US220710006112,220710006112,"Block Group 2, Census Tract 6.11, Orleans Parish, Louisiana",2609,2597,56,1897,3,637,1,3,12,12,0,1,7,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US220710006121,220710006121,"Block Group 1, Census Tract 6.12, Orleans Parish, Louisiana",1147,1128,896,129,0,87,0,16,19,19,0,8,2,0,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US220710006131,220710006131,"Block Group 1, Census Tract 6.13, Orleans Parish, Louisiana",591,589,234,325,0,21,0,9,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
