GEO.id,GEO.id2,GEO.display-label,D001,D002,D003,D004,D005,D006,D007,D008,D009,D010,D011,D012,D013,D014,D015,D016,D017,D018,D019,D020,D021,D022,D023,D024,D025,D026,D027,D028,D029,D030,D031,D032,D033,D034,D035,D036,D037,D038,D039,D040,D041,D042,D043,D044,D045,D046,D047,D048,D049,D050,D051,D052,D053,D054,D055,D056,D057,D058,D059,D060,D061,D062,D063,D064,D065,D066,D067,D068,D069,D070,D071
1500000US220710006011,220710006011,"Block Group 1, Census Tract 6.01, Orleans Parish, Louisiana",218,217,3,214,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US220710006012,220710006012,"Block Group 2, Census Tract 6.01, Orleans Parish, Louisiana",631,626,2,613,0,0,0,11,5,5,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US220710006021,220710006021,"Block Group 1, Census Tract 6.02, Orleans Parish, Louisiana",784,771,102,641,0,6,0,22,13,8,3,2,0,0,1,1,0,0,1,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US220710006022,220710006022,"Block Group 2, Census Tract 6.02, Orleans Parish, Louisiana",809,795,54,727,0,0,1,13,14,14,3,0,0,0,4,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US220710006023,220710006023,"Block Group 3, Census Tract 6.02, Orleans Parish, Louisiana",941,931,74,845,1,0,0,11,10,10,3,1,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US220710006031,220710006031,"Block Group 1, Census Tract 6.03, Orleans Parish, Louisiana",659,645,61,447,8,47,0,82,14,14,0,0,0,0,1,0,0,10,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US220710006032,220710006032,"Block Group 2, Census Tract 6.03, Orleans Parish, Louisiana",946,934,47,807,15,8,0,57,12,12,0,0,0,0,5,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US220710006041,220710006041,"Block Group 1, Census Tract 6.04, Orleans Parish, Louisiana",1455,1425,107,1290,9,7,0,12,30,29,8,3,4,0,11,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US220710006042,220710006042,"Block Group 2, Census Tract 6.04, Orleans Parish, Louisiana",1478,1443,421,950,6,29,0,37,35,33,6,6,0,0,4,4,0,6,4,0,0,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1500000US220710006043,220710006043,"Block Group 3, Census Tract 6.04, Orleans Parish, Louisiana",992,977,36,911,1,2,0,27,15,14,5,1,3,0,0,0,2,0,2,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US220710006051,220710006051,"Block Group 1, Census Tract 6.05, Orleans Parish, Louisiana",870,855,154,689,1,0,1,10,15,15,1,2,0,0,0,1,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US220710006052,220710006052,"Block Group 2, Census Tract 6.05, Orleans Parish, Louisiana",530,525,99,416,0,0,0,10,5,5,1,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US220710006053,220710006053,"Block Group 3, Census Tract 6.05, Orleans Parish, Louisiana",805,790,336,401,6,20,1,26,15,15,6,0,2,0,4,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US220710006061,220710006061,"Block Group 1, Census Tract 6.06, Orleans Parish, Louisiana",1355,1333,674,601,5,36,0,17,22,22,8,3,1,0,1,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US220710006062,220710006062,"Block Group 2, Census Tract 6.06, Orleans Parish, Louisiana",1536,1512,592,811,8,45,0,56,24,23,7,4,1,0,0,3,1,0,6,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US220710006063,220710006063,"Block Group 3, Census Tract 6.06, Orleans Parish, Louisiana",1455,1421,416,960,2,28,0,15,34,31,11,1,4,0,3,2,2,0,8,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US220710006071,220710006071,"Block Group 1, Census Tract 6.07, Orleans Parish, Louisiana",743,739,351,382,3,2,0,1,4,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US220710006072,220710006072,"Block Group 2, Census Tract 6.07, Orleans Parish, Louisiana",1218,1200,806,365,2,14,0,13,18,18,12,0,0,0,1,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US220710006073,220710006073,"Block Group 3, Census Tract 6.07, Orleans Parish, Louisiana",1748,1694,1034,569,7,44,2,38,54,46,21,3,15,0,4,0,0,0,2,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0
1500000US220710006111,220710006111,"Block Group 1, Census Tract 6.11, Orleans Parish, Louisiana",1680,1667,17,1643,3,3,0,1,13,13,3,0,0,0,0,5,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US220710006112,220710006112,"Block Group 2, Census Tract 6.11, Orleans Parish, Louisiana",2330,2300,79,1704,6,443,0,68,30,28,2,0,7,0,1,1,4,0,13,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US220710006121,220710006121,"Block Group 1, Census Tract 6.12, Orleans Parish, Louisiana",1759,1693,1156,347,4,170,0,16,66,52,8,10,10,1,9,5,0,0,4,1,0,0,0,4,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
