Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
1500000US220710006131,2.21E+11,"Block Group 1, Census Tract 6.13, Orleans Parish, Louisiana",1049,441,27,28,1009,441,0,12,0,12,0,12,0,12,13,21,0,12,13,21
1500000US220710006132,2.21E+11,"Block Group 2, Census Tract 6.13, Orleans Parish, Louisiana",1501,540,65,63,1415,541,0,12,0,12,0,12,21,35,0,12,0,12,0,12
1500000US220710006133,2.21E+11,"Block Group 3, Census Tract 6.13, Orleans Parish, Louisiana",2400,532,344,155,2047,512,0,12,9,13,0,12,0,12,0,12,0,12,0,12
1500000US220710006151,2.21E+11,"Block Group 1, Census Tract 6.15, Orleans Parish, Louisiana",1637,358,534,155,911,366,6,9,186,179,0,12,0,12,0,12,0,12,0,12
1500000US220710006152,2.21E+11,"Block Group 2, Census Tract 6.15, Orleans Parish, Louisiana",1871,369,445,215,1399,340,0,12,18,28,0,12,0,12,9,14,0,12,9,14
1500000US220710006161,2.21E+11,"Block Group 1, Census Tract 6.16, Orleans Parish, Louisiana",1009,352,334,155,675,348,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US220710006162,2.21E+11,"Block Group 2, Census Tract 6.16, Orleans Parish, Louisiana",1485,538,259,143,1200,498,0,12,26,36,0,12,0,12,0,12,0,12,0,12
1500000US220710006163,2.21E+11,"Block Group 3, Census Tract 6.16, Orleans Parish, Louisiana",1706,471,930,203,715,427,0,12,9,14,0,12,9,15,43,40,11,17,32,35
1500000US220710006171,2.21E+11,"Block Group 1, Census Tract 6.17, Orleans Parish, Louisiana",1186,453,259,141,927,443,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US220710006172,2.21E+11,"Block Group 2, Census Tract 6.17, Orleans Parish, Louisiana",2548,442,346,305,2162,429,20,32,20,61,0,12,0,12,0,12,0,12,0,12
1500000US220710006181,2.21E+11,"Block Group 1, Census Tract 6.18, Orleans Parish, Louisiana",1605,325,908,221,585,240,0,12,112,98,0,12,0,12,0,12,0,12,0,12
1500000US220710006182,2.21E+11,"Block Group 2, Census Tract 6.18, Orleans Parish, Louisiana",2319,387,584,199,1482,356,30,34,9,13,0,12,71,105,143,110,46,67,97,90
1500000US220710007011,2.21E+11,"Block Group 1, Census Tract 7.01, Orleans Parish, Louisiana",73,53,0,12,73,53,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US220710007012,2.21E+11,"Block Group 2, Census Tract 7.01, Orleans Parish, Louisiana",151,77,0,12,151,77,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US220710007013,2.21E+11,"Block Group 3, Census Tract 7.01, Orleans Parish, Louisiana",167,57,18,21,149,54,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US220710007014,2.21E+11,"Block Group 4, Census Tract 7.01, Orleans Parish, Louisiana",180,75,0,12,180,75,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US220710007021,2.21E+11,"Block Group 1, Census Tract 7.02, Orleans Parish, Louisiana",425,202,8,13,417,204,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US220710007022,2.21E+11,"Block Group 2, Census Tract 7.02, Orleans Parish, Louisiana",650,299,56,65,590,295,4,6,0,12,0,12,0,12,0,12,0,12,0,12
1500000US220710007023,2.21E+11,"Block Group 3, Census Tract 7.02, Orleans Parish, Louisiana",108,75,17,22,91,73,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US220710007024,2.21E+11,"Block Group 4, Census Tract 7.02, Orleans Parish, Louisiana",522,266,49,41,443,263,0,12,0,12,0,12,21,31,9,13,0,12,9,13
1500000US220710008001,2.21E+11,"Block Group 1, Census Tract 8, Orleans Parish, Louisiana",382,131,83,62,299,119,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US220710008002,2.21E+11,"Block Group 2, Census Tract 8, Orleans Parish, Louisiana",482,168,11,12,464,173,7,11,0,12,0,12,0,12,0,12,0,12,0,12
1500000US220710008003,2.21E+11,"Block Group 3, Census Tract 8, Orleans Parish, Louisiana",485,160,27,21,419,151,0,12,18,26,0,12,0,12,21,24,0,12,21,24
1500000US220710009011,2.21E+11,"Block Group 1, Census Tract 9.01, Orleans Parish, Louisiana",165,82,0,12,165,82,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US220710009012,2.21E+11,"Block Group 2, Census Tract 9.01, Orleans Parish, Louisiana",225,150,0,12,225,150,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US220710009013,2.21E+11,"Block Group 3, Census Tract 9.01, Orleans Parish, Louisiana",78,65,0,12,78,65,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US220710009014,2.21E+11,"Block Group 4, Census Tract 9.01, Orleans Parish, Louisiana",322,141,66,93,256,114,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US220710009021,2.21E+11,"Block Group 1, Census Tract 9.02, Orleans Parish, Louisiana",48,42,0,12,48,42,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US220710009022,2.21E+11,"Block Group 2, Census Tract 9.02, Orleans Parish, Louisiana",189,158,1,3,188,158,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US220710009023,2.21E+11,"Block Group 3, Census Tract 9.02, Orleans Parish, Louisiana",233,158,0,12,233,158,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US220710009024,2.21E+11,"Block Group 4, Census Tract 9.02, Orleans Parish, Louisiana",219,110,0,12,219,110,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US220710009031,2.21E+11,"Block Group 1, Census Tract 9.03, Orleans Parish, Louisiana",74,46,0,12,74,46,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US220710009032,2.21E+11,"Block Group 2, Census Tract 9.03, Orleans Parish, Louisiana",216,102,0,12,216,102,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US220710009033,2.21E+11,"Block Group 3, Census Tract 9.03, Orleans Parish, Louisiana",38,33,0,12,38,33,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US220710009034,2.21E+11,"Block Group 4, Census Tract 9.03, Orleans Parish, Louisiana",148,90,0,12,148,90,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US220710009041,2.21E+11,"Block Group 1, Census Tract 9.04, Orleans Parish, Louisiana",418,140,9,12,366,135,0,12,10,16,0,12,22,34,11,16,0,12,11,16
1500000US220710009042,2.21E+11,"Block Group 2, Census Tract 9.04, Orleans Parish, Louisiana",424,148,2,4,422,147,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US220710011001,2.21E+11,"Block Group 1, Census Tract 11, Orleans Parish, Louisiana",662,221,67,50,573,212,0,12,0,12,0,12,22,36,0,12,0,12,0,12
1500000US220710011002,2.21E+11,"Block Group 2, Census Tract 11, Orleans Parish, Louisiana",1028,146,862,133,92,39,8,12,7,11,0,12,21,22,38,40,0,12,38,40
1500000US220710011003,2.21E+11,"Block Group 3, Census Tract 11, Orleans Parish, Louisiana",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US220710012001,2.21E+11,"Block Group 1, Census Tract 12, Orleans Parish, Louisiana",504,118,411,93,65,42,0,12,0,12,0,12,0,12,28,32,0,12,28,32
1500000US220710012002,2.21E+11,"Block Group 2, Census Tract 12, Orleans Parish, Louisiana",416,124,287,78,99,81,0,12,0,12,0,12,0,12,30,28,0,12,30,28
1500000US220710012003,2.21E+11,"Block Group 3, Census Tract 12, Orleans Parish, Louisiana",669,144,570,130,51,43,0,12,0,12,0,12,0,12,48,44,0,12,48,44
1500000US220710013011,2.21E+11,"Block Group 1, Census Tract 13.01, Orleans Parish, Louisiana",729,217,72,57,651,206,0,12,0,12,0,12,0,12,6,8,0,12,6,8
1500000US220710013012,2.21E+11,"Block Group 2, Census Tract 13.01, Orleans Parish, Louisiana",361,105,225,91,122,116,0,12,8,10,0,12,0,12,6,10,0,12,6,10
1500000US220710013013,2.21E+11,"Block Group 3, Census Tract 13.01, Orleans Parish, Louisiana",324,85,59,36,248,81,0,12,0,12,0,12,0,12,17,20,0,12,17,20
1500000US220710013014,2.21E+11,"Block Group 4, Census Tract 13.01, Orleans Parish, Louisiana",264,100,0,12,264,100,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US220710013021,2.21E+11,"Block Group 1, Census Tract 13.02, Orleans Parish, Louisiana",406,134,11,13,395,136,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US220710013022,2.21E+11,"Block Group 2, Census Tract 13.02, Orleans Parish, Louisiana",483,136,45,40,429,129,0,12,9,14,0,12,0,12,0,12,0,12,0,12
1500000US220710014011,2.21E+11,"Block Group 1, Census Tract 14.01, Orleans Parish, Louisiana",250,130,0,12,250,130,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US220710014012,2.21E+11,"Block Group 2, Census Tract 14.01, Orleans Parish, Louisiana",162,62,1,2,161,61,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US220710014013,2.21E+11,"Block Group 3, Census Tract 14.01, Orleans Parish, Louisiana",284,99,0,12,284,99,0,12,0,12,0,12,0,12,0,12,0,12,0,12
