Id,Estimate; Total:,Estimate; Total: - White alone,Estimate; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Estimate; Total: - Some other race alone,Estimate; Total: - Hispanic
220710017301,1496,443,960,14,79,0,21
220710017252,1603,939,664,0,0,0,42
220710017292,1530,450,894,0,186,0,9
220710017291,2678,160,1271,0,1247,0,78
220710017253,1939,647,1190,0,31,71,130
220710017274,1588,218,1353,9,0,8,0
220710017281,600,201,353,0,46,0,0
220710017293,6399,449,2689,18,3243,0,52
220710017282,3872,641,3104,0,77,50,90
220710017324,1181,635,426,0,120,0,28
220710017241,960,507,403,0,0,50,0
220710017211,2042,197,1824,0,21,0,25
220710017242,1469,1106,231,0,132,0,67
220710133011,405,405,0,0,0,0,0
220710133021,1569,1204,246,0,119,0,23
220710017249,0,0,0,0,0,0,0
220710017254,1838,743,1070,0,0,25,25
220710017261,5602,774,4726,8,10,84,227
220710017341,1660,1654,0,0,6,0,43
220710017271,2828,586,2204,0,30,8,42
220710017262,3328,1368,1898,0,62,0,11
220710017325,2901,987,1739,0,168,7,57
220710017263,950,520,430,0,0,0,36
220710017264,649,549,91,9,0,0,15
220710017272,1948,177,1685,0,71,15,0
220710017251,2248,1259,962,0,18,9,71
220710114003,514,465,28,0,0,21,21
220710104001,425,255,151,0,19,0,6
220710097002,579,125,454,0,0,0,0
220710114002,417,403,14,0,0,0,0
220710105002,539,208,331,0,0,0,7
220710106002,755,150,600,0,0,5,14
220710006142,235,235,0,0,0,0,10
220710104991,30,0,30,0,0,0,0
220710006143,2089,1854,173,0,62,0,10
220710006144,3218,1442,1680,0,36,60,170
220710134981,0,0,0,0,0,0,0
220710134984,0,0,0,0,0,0,0
220710076031,1882,1879,0,0,0,3,74
220710114004,698,672,0,0,11,15,47
220710096003,756,120,636,0,0,0,15
220710115003,566,553,0,13,0,0,8
220710087002,408,42,357,0,0,9,9
220710114001,442,356,56,0,0,30,48
220710096002,672,287,385,0,0,0,12
220710097001,610,168,427,0,15,0,0
220710097003,396,175,176,0,45,0,10
220710106003,453,261,174,18,0,0,0
220710105001,571,289,249,0,0,33,46
220710106001,577,238,334,0,0,5,16
220710105003,380,190,190,0,0,0,11
220710006081,1291,925,322,22,22,0,64
220710081023,102,28,74,0,0,0,0
220710088003,583,57,526,0,0,0,0
220710006133,1632,611,945,46,0,30,51
220710006121,325,230,95,0,0,0,0
220710006083,3080,2295,684,12,51,38,138
220710089003,528,203,309,0,0,16,53
220710108002,616,384,228,0,0,4,26
220710089002,514,78,388,0,0,48,53
220710087001,396,22,374,0,0,0,0
220710107002,565,255,302,0,0,8,61
220710099003,510,346,155,0,9,0,26
220710107003,729,240,473,7,9,0,14
220710096001,475,308,119,0,0,48,91
220710006082,3227,2901,231,0,27,68,124
220710116002,479,415,64,0,0,0,32
220710116001,477,430,47,0,0,0,0
220710099005,879,753,93,0,27,6,25
220710088004,499,271,228,0,0,0,24
220710116003,525,521,4,0,0,0,6
220710081024,373,13,360,0,0,0,0
220710115002,623,528,95,0,0,0,30
220710107001,255,255,0,0,0,0,0
220710107004,441,319,122,0,0,0,11
220710088002,397,55,342,0,0,0,0
220710099002,585,501,76,0,0,8,23
220710006132,1214,308,836,0,0,70,93
220710089001,336,88,228,0,0,20,30
220710099004,512,360,152,0,0,0,25
220710117002,375,375,0,0,0,0,0
220710090003,775,725,50,0,0,0,16
220710006111,2071,43,2022,0,0,6,13
220710109003,654,590,37,0,21,6,28
220710109004,420,420,0,0,0,0,0
220710083003,698,128,551,0,0,19,45
220710099001,240,202,38,0,0,0,0
220710108003,472,451,0,21,0,0,0
220710115001,499,476,0,12,5,6,12
220710088001,506,323,176,0,0,7,74
220710081022,357,0,357,0,0,0,0
220710108001,349,349,0,0,0,0,0
220710006112,2831,67,1982,0,782,0,0
220710081021,114,0,114,0,0,0,12
220710006071,842,571,271,0,0,0,26
220710100003,428,10,411,0,7,0,0
220710109002,476,228,248,0,0,0,0
220710109005,384,297,87,0,0,0,7
220710083002,418,357,54,0,7,0,18
220710120003,435,388,47,0,0,0,10
220710006012,209,0,209,0,0,0,0
220710101002,779,354,366,0,20,39,70
220710006131,503,359,144,0,0,0,0
220710101003,694,614,72,0,8,0,8
220710117003,640,640,0,0,0,0,21
220710100004,398,277,121,0,0,0,4
220710081012,2650,12,2638,0,0,0,0
220710090002,879,713,138,0,9,19,52
220710006031,1285,48,1195,0,0,42,148
220710100002,456,0,456,0,0,0,0
220710083001,265,251,0,7,7,0,12
220710006072,1233,1175,0,0,58,0,9
220710100005,633,0,623,10,0,0,0
220710082003,267,230,13,0,0,24,13
220710091005,531,95,421,0,0,15,23
220710006062,1481,1273,203,0,0,5,85
220710091003,535,286,249,0,0,0,16
