Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - With public assistance income,Margin of Error; Total: - With public assistance income,Estimate; Total: - No public assistance income,Margin of Error; Total: - No public assistance income
1500000US220710017225,2.2071E+11,"Block Group 5, Census Tract 17.22, Orleans Parish, Louisiana",349,80,7,11,342,80
1500000US220710017226,2.2071E+11,"Block Group 6, Census Tract 17.22, Orleans Parish, Louisiana",123,62,0,12,123,62
1500000US220710017227,2.2071E+11,"Block Group 7, Census Tract 17.22, Orleans Parish, Louisiana",121,66,0,12,121,66
1500000US220710017231,2.2071E+11,"Block Group 1, Census Tract 17.23, Orleans Parish, Louisiana",272,82,0,12,272,82
1500000US220710017232,2.2071E+11,"Block Group 2, Census Tract 17.23, Orleans Parish, Louisiana",738,108,19,21,719,111
1500000US220710017233,2.2071E+11,"Block Group 3, Census Tract 17.23, Orleans Parish, Louisiana",331,89,6,10,325,89
1500000US220710017234,2.2071E+11,"Block Group 4, Census Tract 17.23, Orleans Parish, Louisiana",508,102,0,12,508,102
1500000US220710017241,2.2071E+11,"Block Group 1, Census Tract 17.24, Orleans Parish, Louisiana",268,83,27,31,241,82
1500000US220710017242,2.2071E+11,"Block Group 2, Census Tract 17.24, Orleans Parish, Louisiana",356,90,0,12,356,90
1500000US220710017243,2.2071E+11,"Block Group 3, Census Tract 17.24, Orleans Parish, Louisiana",612,118,7,12,605,117
1500000US220710017244,2.2071E+11,"Block Group 4, Census Tract 17.24, Orleans Parish, Louisiana",426,119,13,18,413,117
1500000US220710017251,2.2071E+11,"Block Group 1, Census Tract 17.25, Orleans Parish, Louisiana",765,156,0,12,765,156
1500000US220710017252,2.2071E+11,"Block Group 2, Census Tract 17.25, Orleans Parish, Louisiana",559,129,16,22,543,132
1500000US220710017253,2.2071E+11,"Block Group 3, Census Tract 17.25, Orleans Parish, Louisiana",521,127,0,12,521,127
1500000US220710017254,2.2071E+11,"Block Group 4, Census Tract 17.25, Orleans Parish, Louisiana",569,139,16,25,553,142
1500000US220710017301,2.2071E+11,"Block Group 1, Census Tract 17.30, Orleans Parish, Louisiana",287,46,0,12,287,46
1500000US220710017341,2.2071E+11,"Block Group 1, Census Tract 17.34, Orleans Parish, Louisiana",333,70,0,12,333,70
1500000US220710017351,2.2071E+11,"Block Group 1, Census Tract 17.35, Orleans Parish, Louisiana",454,85,26,24,428,88
1500000US220710017352,2.2071E+11,"Block Group 2, Census Tract 17.35, Orleans Parish, Louisiana",350,67,31,23,319,71
1500000US220710017361,2.2071E+11,"Block Group 1, Census Tract 17.36, Orleans Parish, Louisiana",241,69,11,18,230,66
1500000US220710017362,2.2071E+11,"Block Group 2, Census Tract 17.36, Orleans Parish, Louisiana",559,82,6,10,553,83
1500000US220710017371,2.2071E+11,"Block Group 1, Census Tract 17.37, Orleans Parish, Louisiana",724,112,17,27,707,115
1500000US220710017372,2.2071E+11,"Block Group 2, Census Tract 17.37, Orleans Parish, Louisiana",322,66,0,12,322,66
1500000US220710017373,2.2071E+11,"Block Group 3, Census Tract 17.37, Orleans Parish, Louisiana",249,63,13,13,236,63
1500000US220710017391,2.2071E+11,"Block Group 1, Census Tract 17.39, Orleans Parish, Louisiana",408,67,0,12,408,67
1500000US220710017392,2.2071E+11,"Block Group 2, Census Tract 17.39, Orleans Parish, Louisiana",165,43,0,12,165,43
1500000US220710017401,2.2071E+11,"Block Group 1, Census Tract 17.40, Orleans Parish, Louisiana",442,93,10,16,432,93
1500000US220710017402,2.2071E+11,"Block Group 2, Census Tract 17.40, Orleans Parish, Louisiana",695,128,0,12,695,128
1500000US220710017403,2.2071E+11,"Block Group 3, Census Tract 17.40, Orleans Parish, Louisiana",656,127,45,51,611,121
1500000US220710017411,2.2071E+11,"Block Group 1, Census Tract 17.41, Orleans Parish, Louisiana",480,44,3,6,477,45
1500000US220710017431,2.2071E+11,"Block Group 1, Census Tract 17.43, Orleans Parish, Louisiana",625,105,14,16,611,106
1500000US220710017432,2.2071E+11,"Block Group 2, Census Tract 17.43, Orleans Parish, Louisiana",314,101,0,12,314,101
1500000US220710017441,2.2071E+11,"Block Group 1, Census Tract 17.44, Orleans Parish, Louisiana",489,106,11,19,478,109
1500000US220710017442,2.2071E+11,"Block Group 2, Census Tract 17.44, Orleans Parish, Louisiana",493,139,72,79,421,134
1500000US220710017443,2.2071E+11,"Block Group 3, Census Tract 17.44, Orleans Parish, Louisiana",427,97,15,23,412,95
1500000US220710017451,2.2071E+11,"Block Group 1, Census Tract 17.45, Orleans Parish, Louisiana",930,106,39,29,891,106
1500000US220710017452,2.2071E+11,"Block Group 2, Census Tract 17.45, Orleans Parish, Louisiana",409,79,17,21,392,76
1500000US220710017461,2.2071E+11,"Block Group 1, Census Tract 17.46, Orleans Parish, Louisiana",482,126,9,14,473,127
1500000US220710017462,2.2071E+11,"Block Group 2, Census Tract 17.46, Orleans Parish, Louisiana",578,116,0,12,578,116
1500000US220710017463,2.2071E+11,"Block Group 3, Census Tract 17.46, Orleans Parish, Louisiana",563,131,41,39,522,137
1500000US220710017471,2.2071E+11,"Block Group 1, Census Tract 17.47, Orleans Parish, Louisiana",847,104,0,12,847,104
1500000US220710017472,2.2071E+11,"Block Group 2, Census Tract 17.47, Orleans Parish, Louisiana",425,90,0,12,425,90
1500000US220710017481,2.2071E+11,"Block Group 1, Census Tract 17.48, Orleans Parish, Louisiana",374,84,0,12,374,84
1500000US220710017482,2.2071E+11,"Block Group 2, Census Tract 17.48, Orleans Parish, Louisiana",409,98,0,12,409,98
1500000US220710017483,2.2071E+11,"Block Group 3, Census Tract 17.48, Orleans Parish, Louisiana",445,101,24,36,421,100
1500000US220710017484,2.2071E+11,"Block Group 4, Census Tract 17.48, Orleans Parish, Louisiana",273,88,0,12,273,88
1500000US220710017491,2.2071E+11,"Block Group 1, Census Tract 17.49, Orleans Parish, Louisiana",369,69,5,8,364,70
1500000US220710017492,2.2071E+11,"Block Group 2, Census Tract 17.49, Orleans Parish, Louisiana",471,78,3,5,468,78
1500000US220710017501,2.2071E+11,"Block Group 1, Census Tract 17.50, Orleans Parish, Louisiana",397,89,0,12,397,89
1500000US220710017502,2.2071E+11,"Block Group 2, Census Tract 17.50, Orleans Parish, Louisiana",322,87,0,12,322,87
1500000US220710017503,2.2071E+11,"Block Group 3, Census Tract 17.50, Orleans Parish, Louisiana",434,93,18,29,416,93
1500000US220710017511,2.2071E+11,"Block Group 1, Census Tract 17.51, Orleans Parish, Louisiana",268,45,21,19,247,48
1500000US220710018001,2.2071E+11,"Block Group 1, Census Tract 18, Orleans Parish, Louisiana",418,75,3,6,415,75
1500000US220710018002,2.2071E+11,"Block Group 2, Census Tract 18, Orleans Parish, Louisiana",282,65,0,12,282,65
1500000US220710019001,2.2071E+11,"Block Group 1, Census Tract 19, Orleans Parish, Louisiana",138,51,0,12,138,51
1500000US220710019002,2.2071E+11,"Block Group 2, Census Tract 19, Orleans Parish, Louisiana",261,58,19,22,242,56
1500000US220710019003,2.2071E+11,"Block Group 3, Census Tract 19, Orleans Parish, Louisiana",245,70,0,12,245,70
1500000US220710020001,2.2071E+11,"Block Group 1, Census Tract 20, Orleans Parish, Louisiana",212,63,32,30,180,59
1500000US220710020002,2.2071E+11,"Block Group 2, Census Tract 20, Orleans Parish, Louisiana",197,65,14,16,183,69
1500000US220710020003,2.2071E+11,"Block Group 3, Census Tract 20, Orleans Parish, Louisiana",107,46,10,15,97,44
1500000US220710021001,2.2071E+11,"Block Group 1, Census Tract 21, Orleans Parish, Louisiana",158,57,15,16,143,55
1500000US220710021002,2.2071E+11,"Block Group 2, Census Tract 21, Orleans Parish, Louisiana",209,47,36,30,173,39
1500000US220710022001,2.2071E+11,"Block Group 1, Census Tract 22, Orleans Parish, Louisiana",125,44,1,4,124,45
1500000US220710022002,2.2071E+11,"Block Group 2, Census Tract 22, Orleans Parish, Louisiana",181,43,15,20,166,42
1500000US220710022003,2.2071E+11,"Block Group 3, Census Tract 22, Orleans Parish, Louisiana",96,44,11,18,85,43
1500000US220710023001,2.2071E+11,"Block Group 1, Census Tract 23, Orleans Parish, Louisiana",59,27,0,12,59,27
1500000US220710023002,2.2071E+11,"Block Group 2, Census Tract 23, Orleans Parish, Louisiana",114,56,14,20,100,56
1500000US220710023003,2.2071E+11,"Block Group 3, Census Tract 23, Orleans Parish, Louisiana",68,45,0,12,68,45
1500000US220710023004,2.2071E+11,"Block Group 4, Census Tract 23, Orleans Parish, Louisiana",101,42,0,12,101,42
1500000US220710023005,2.2071E+11,"Block Group 5, Census Tract 23, Orleans Parish, Louisiana",475,88,0,12,475,88
1500000US220710024011,2.2071E+11,"Block Group 1, Census Tract 24.01, Orleans Parish, Louisiana",414,75,5,8,409,73
1500000US220710024012,2.2071E+11,"Block Group 2, Census Tract 24.01, Orleans Parish, Louisiana",355,78,6,10,349,78
1500000US220710024021,2.2071E+11,"Block Group 1, Census Tract 24.02, Orleans Parish, Louisiana",168,68,0,12,168,68
1500000US220710024022,2.2071E+11,"Block Group 2, Census Tract 24.02, Orleans Parish, Louisiana",355,110,0,12,355,110
1500000US220710024023,2.2071E+11,"Block Group 3, Census Tract 24.02, Orleans Parish, Louisiana",276,84,0,12,276,84
1500000US220710024024,2.2071E+11,"Block Group 4, Census Tract 24.02, Orleans Parish, Louisiana",419,83,0,12,419,83
1500000US220710025011,2.2071E+11,"Block Group 1, Census Tract 25.01, Orleans Parish, Louisiana",278,64,6,9,272,66
1500000US220710025012,2.2071E+11,"Block Group 2, Census Tract 25.01, Orleans Parish, Louisiana",161,52,1,4,160,53
1500000US220710025013,2.2071E+11,"Block Group 3, Census Tract 25.01, Orleans Parish, Louisiana",105,41,0,12,105,41
1500000US220710025014,2.2071E+11,"Block Group 4, Census Tract 25.01, Orleans Parish, Louisiana",130,37,0,12,130,37
1500000US220710025021,2.2071E+11,"Block Group 1, Census Tract 25.02, Orleans Parish, Louisiana",320,67,17,16,303,68
1500000US220710025022,2.2071E+11,"Block Group 2, Census Tract 25.02, Orleans Parish, Louisiana",179,56,0,12,179,56
1500000US220710025023,2.2071E+11,"Block Group 3, Census Tract 25.02, Orleans Parish, Louisiana",142,52,0,12,142,52
1500000US220710025024,2.2071E+11,"Block Group 4, Census Tract 25.02, Orleans Parish, Louisiana",171,48,0,12,171,48
1500000US220710025031,2.2071E+11,"Block Group 1, Census Tract 25.03, Orleans Parish, Louisiana",150,45,5,8,145,43
1500000US220710025032,2.2071E+11,"Block Group 2, Census Tract 25.03, Orleans Parish, Louisiana",377,82,0,12,377,82
1500000US220710025033,2.2071E+11,"Block Group 3, Census Tract 25.03, Orleans Parish, Louisiana",281,63,0,12,281,63
1500000US220710025041,2.2071E+11,"Block Group 1, Census Tract 25.04, Orleans Parish, Louisiana",191,57,29,34,162,49
1500000US220710025042,2.2071E+11,"Block Group 2, Census Tract 25.04, Orleans Parish, Louisiana",328,59,0,12,328,59
1500000US220710025043,2.2071E+11,"Block Group 3, Census Tract 25.04, Orleans Parish, Louisiana",181,46,0,12,181,46
1500000US220710025044,2.2071E+11,"Block Group 4, Census Tract 25.04, Orleans Parish, Louisiana",229,53,0,12,229,53
1500000US220710026001,2.2071E+11,"Block Group 1, Census Tract 26, Orleans Parish, Louisiana",450,92,8,12,442,92
1500000US220710026002,2.2071E+11,"Block Group 2, Census Tract 26, Orleans Parish, Louisiana",528,108,0,12,528,108
1500000US220710027001,2.2071E+11,"Block Group 1, Census Tract 27, Orleans Parish, Louisiana",205,60,0,12,205,60
1500000US220710027002,2.2071E+11,"Block Group 2, Census Tract 27, Orleans Parish, Louisiana",261,69,4,6,257,70
1500000US220710027003,2.2071E+11,"Block Group 3, Census Tract 27, Orleans Parish, Louisiana",149,54,11,21,138,57
1500000US220710028001,2.2071E+11,"Block Group 1, Census Tract 28, Orleans Parish, Louisiana",170,43,0,12,170,43
1500000US220710028002,2.2071E+11,"Block Group 2, Census Tract 28, Orleans Parish, Louisiana",269,62,5,8,264,62
1500000US220710028003,2.2071E+11,"Block Group 3, Census Tract 28, Orleans Parish, Louisiana",202,61,6,11,196,62
1500000US220710029001,2.2071E+11,"Block Group 1, Census Tract 29, Orleans Parish, Louisiana",209,64,6,9,203,63
1500000US220710029002,2.2071E+11,"Block Group 2, Census Tract 29, Orleans Parish, Louisiana",147,61,0,12,147,61
1500000US220710029003,2.2071E+11,"Block Group 3, Census Tract 29, Orleans Parish, Louisiana",208,84,0,12,208,84
1500000US220710030001,2.2071E+11,"Block Group 1, Census Tract 30, Orleans Parish, Louisiana",213,58,6,9,207,57
1500000US220710030002,2.2071E+11,"Block Group 2, Census Tract 30, Orleans Parish, Louisiana",268,65,5,8,263,65
1500000US220710031001,2.2071E+11,"Block Group 1, Census Tract 31, Orleans Parish, Louisiana",147,67,0,12,147,67
1500000US220710031002,2.2071E+11,"Block Group 2, Census Tract 31, Orleans Parish, Louisiana",303,75,10,15,293,75
1500000US220710033011,2.2071E+11,"Block Group 1, Census Tract 33.01, Orleans Parish, Louisiana",300,57,5,8,295,55
1500000US220710033012,2.2071E+11,"Block Group 2, Census Tract 33.01, Orleans Parish, Louisiana",252,72,14,22,238,73
1500000US220710033013,2.2071E+11,"Block Group 3, Census Tract 33.01, Orleans Parish, Louisiana",129,39,0,12,129,39
1500000US220710033021,2.2071E+11,"Block Group 1, Census Tract 33.02, Orleans Parish, Louisiana",231,70,0,12,231,70
1500000US220710033022,2.2071E+11,"Block Group 2, Census Tract 33.02, Orleans Parish, Louisiana",398,78,26,41,372,73
1500000US220710033023,2.2071E+11,"Block Group 3, Census Tract 33.02, Orleans Parish, Louisiana",371,79,0,12,371,79
1500000US220710033024,2.2071E+11,"Block Group 4, Census Tract 33.02, Orleans Parish, Louisiana",214,64,0,12,214,64
1500000US220710033031,2.2071E+11,"Block Group 1, Census Tract 33.03, Orleans Parish, Louisiana",356,70,23,28,333,70
1500000US220710033032,2.2071E+11,"Block Group 2, Census Tract 33.03, Orleans Parish, Louisiana",307,81,15,24,292,78
1500000US220710033033,2.2071E+11,"Block Group 3, Census Tract 33.03, Orleans Parish, Louisiana",176,52,4,7,172,52
