county,fips,cand,st,pct_report,votes,total_votes,pct,lead
Faulkner County,5045,Donald Trump,AR,1,29170,47196,0.618060853,Donald Trump
Adams County,42001,Donald Trump,PA,1,31249,47138,0.662925877,Donald Trump
Grayson County,48181,Donald Trump,TX,1,35274,47068,0.749426362,Donald Trump
Nash County,37127,Donald Trump,NC,1,23142,46903,0.493401275,Donald Trump
Burleigh County,38015,Donald Trump,ND,1,32499,46874,0.693326791,Donald Trump
St. Croix County,55109,Donald Trump,WI,1,26123,46819,0.55795724,Donald Trump
Platte County,29165,Donald Trump,MO,1,24975,46641,0.535473082,Donald Trump
Kankakee County,17091,Donald Trump,IL,1,25081,46556,0.538727554,Donald Trump
Nassau County,12089,Donald Trump,FL,1,34221,46537,0.735350366,Donald Trump
Flathead County,30029,Donald Trump,MT,1,30079,46250,0.650356757,Donald Trump
Craven County,37049,Donald Trump,NC,1,27556,46231,0.596050269,Donald Trump
San Juan County,35045,Donald Trump,NM,1,27879,45975,0.60639478,Donald Trump
Lenawee County,26091,Donald Trump,MI,1,26428,45895,0.575836148,Donald Trump
Daviess County,21059,Donald Trump,KY,1,28907,45781,0.631419148,Donald Trump
Highlands County,12055,Donald Trump,FL,1,29509,45589,0.647283336,Donald Trump
Benton County,41003,Donald Trump,OR,1,13030,45577,0.285889813,Hillary Clinton
Jackson County,28059,Donald Trump,MS,1,31204,45465,0.686330144,Donald Trump
Taylor County,48441,Donald Trump,TX,1,33172,45266,0.732823753,Donald Trump
Columbiana County,39029,Donald Trump,OH,1,31086,45261,0.686816465,Donald Trump
St. Mary's County,24037,Donald Trump,MD,1,26889,45169,0.59529766,Donald Trump
Lapeer County,26087,Donald Trump,MI,1,30037,45126,0.665625139,Donald Trump
Yamhill County,41071,Donald Trump,OR,1,22589,45116,0.500687118,Donald Trump
Madison County,28089,Donald Trump,MS,1,25607,45048,0.56843811,Donald Trump
LaPorte County,18091,Donald Trump,IN,1,22678,44994,0.504022759,Donald Trump
Harnett County,37085,Donald Trump,NC,1,27278,44955,0.606784562,Donald Trump
Coconino County,4005,Donald Trump,AZ,1,16573,44929,0.368870885,Hillary Clinton
Delaware County,18035,Donald Trump,IN,1,24217,44699,0.541779458,Donald Trump
Allen County,39003,Donald Trump,OH,1,29858,44636,0.668921946,Donald Trump
Clarke County,13059,Donald Trump,GA,1,12691,44221,0.286990344,Hillary Clinton
